Gender,Race,Residence,Income,School Type,Hooks,Major,Rank%,SAT,ACT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections
M,ASIAN,MI,Low,-1,NONE,CS,-1,1440,14,2,4.5,['*PURDUE'],"['*GEORGIA TECH', '*UMICH']","['*UIUC', '*NORTHEASTERN']"
OTHER,ASIAN,IN,High,-1,OTHER,CS,25,1390,35,5.5,4.5,['*STANFORD'],[],['*CALTECH']
F,ASIAN,OR,High,SMALL,NONE,CS,1,-1,-1,6.5,4.5,['*UPENN'],[],['*UPENN']
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,-1,1580,-1,7.5,7.5,"['*UCLA', '*HARVARD', '*YALE', '*COLUMBIA', '*DUKE', '*NYU', '*UMICH', '*UNC CHAPEL HILL', '*UVA']",['*UPENN'],"['*STANFORD', '*COLUMBIA']"
M,WHITE,IN,Low,-1,URM,CS,-1,1580,-1,5.5,1.5,"['*GEORGIA TECH', '*UT-AUSTIN', '*ARIZONA STATE', '*UCI']","['*HARVARD', '*UCHICAGO']","['*UCLA', '*NORTHWESTERN', '*UMICH', '*EMORY', '*USC', '*HARVEY MUDD', '*UNC CHAPEL HILL', '*UVA']"
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,-1,1580,-1,7.5,4.7,"['*CORNELL', '*RUTGERS']",[],['*CORNELL']
F,BLACK,OH,Low,PUBLIC,URM,BIO,-1,-1,33,7.5,7.5,['*HARVARD'],[],[]
F,WHITE,NY,Low,PUBLIC,NONE,CS,-1,1550,-1,8.5,8.0,['*MIT'],[],[]
M,ASIAN,GA,Middle,PUBLIC,NONE,-1,-1,1580,-1,6.5,6.3,['*CMU'],[],"['*STANFORD', '*BERKELEY', '*GEORGIA TECH', '*PURDUE', '*UMICH']"
F,BLACK,TX,Middle,PUBLIC,URM,ENG,3,1520,35,3,2.5,"['*COLUMBIA', '*MIT', '*UT-AUSTIN', '*TAMU']",[],[]
M,ASIAN,CA,Low,-1,LEGACY,CS,-1,-1,10,6.5,1.0,['*BROWN'],[],[]
T,ASIAN,CA,Low,PUBLIC,NONE,CS,2,1560,-1,6.5,7.2,"['*BERKELEY', '*MIT', '*CALTECH']",[],[]
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,-1,1530,-1,7.5,2.5,"['*BROWN', '*GEORGIA TECH', '*PURDUE', '*VIRGINIA TECH', '*UVA']","['*DUKE', '*UMICH', '*WASHU']","['*STANFORD', '*NORTHWESTERN']"
F,WHITE,MA,Low,-1,NONE,PSYCH,-1,1430,14,2,8.0,['*EMORY'],[],[]
M,ASIAN,SUBURBAN,Low,PUBLIC,OTHER,CS,-1,1590,-1,7.5,8.7,"['*YALE', '*GEORGIA TECH', '*SWARTHMORE', '*CMU', '*UPENN']","['*HARVARD', '*CORNELL', '*PRINCETON', '*MIT']","['*BROWN', '*STANFORD', '*COLUMBIA', '*CALTECH', '*UCHICAGO']"
F,-1,CA,Low,PUBLIC,URM,ENG,1,1280,-1,2,4.5,"['*BERKELEY', '*NYU', '*UCD', '*FORDHAM', '*UCHICAGO']",['*UCLA'],"['*HARVARD', '*STANFORD', '*BERKELEY', '*NYU']"
F,ASIAN,WA,Low,PRIVATE,LEGACY,POLISCI,-1,1570,-1,7.5,4.2,['*UCHICAGO'],[],[]
M,WHITE,TX,Low,-1,OTHER,LAW,-1,1560,15,6.5,3.5,"['*COLUMBIA', '*UT-AUSTIN', '*TAMU']",[],"['*YALE', '*COLUMBIA']"
M,OTHER,MI,High,PUBLIC,URM,UNDECIDED,-1,-1,29,5,2.5,['*UCHICAGO'],[],[]
F,BLACK,FL,Low,PUBLIC,URM,HISTORY,1,1500,-1,7.5,4.7,['*YALE'],['*COLUMBIA'],"['*HARVARD', '*CORNELL']"
