Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,0
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,0
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,0
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,0
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,0
F,ASIAN,CA,Low,-1,FIRST-GEN,CS,1500,5.5,1.0,0
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,0
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,0
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,0
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,0
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,0
F,ASIAN,IA,High,PRIVATE,NONE,BIO,1590,8.5,6.8,0
F,ASIAN,CA,Low,-1,URM,POLISCI,1330,7.5,1.0,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,0
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,0
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,0
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1570,7.5,3.7,0
M,ARAB,IA,Middle,PRIVATE,NONE,CS,1320,7.5,2.5,0
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1540,5.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1.0,4.2,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,0
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,0
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,0
M,WHITE,CA,Low,PUBLIC,LEGACY,ENG,1550,7.5,6.8,0
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,0
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,0
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1530,7.5,4.5,0
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,DESIGN,1520,6.5,7.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,8.5,4.5,0
