Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
M,HISPANIC,MA,High,PUBLIC,URM,ENG,1520,4.5,6.5,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,0
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,0
M,ASIAN,FL,High,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1440,6.5,3.7,0
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,0
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,0
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,0
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
M,ASIAN,NY,High,PUBLIC,FIRST-GEN,ENG,1460,6.5,2.5,0
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,0
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,0
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,0
F,WHITE,NY,Low,PUBLIC,LEGACY,HISTORY,1330,3.5,6.5,0
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
F,WHITE,AL,Low,PRIVATE,FIRST-GEN,CS,1430,3.0,4.5,0
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,0
T,ARAB,MA,High,-1,URM,CS,1490,5.5,2.5,0
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,0
M,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.0,0
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1510,5.0,6.5,0
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,0
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.5,0
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,LA,Low,-1,NONE,CS,1420,4.5,4.2,0
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1520,6.5,2.5,0
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,0
F,BLACK,MI,High,PUBLIC,URM,CS,1470,5.5,4.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,1430,4.5,6.8,0
M,ASIAN,NV,Low,PRIVATE,LEGACY,CS,1480,3.5,8.2,0
F,HISPANIC,IN,Low,-1,URM,CS,1560,7.5,7.5,0
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1550,3.5,1.0,0
OTHER,ASIAN,OR,Low,PUBLIC,NONE,BIO,1510,6.5,8.2,0
M,ASIAN,CO,High,PUBLIC,NONE,CS,1510,8.5,4.2,0
