Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,0
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,0
M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,4.2,0
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
NB,WHITE,CA,High,PUBLIC,NONE,CS,1600,7.5,8.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1540,6.5,7.6,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,0
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,0
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,0
M,HISPANIC,FL,Low,PUBLIC,URM,CS,1590,7.5,2.5,0
M,ASIAN,OR,High,PUBLIC,NONE,CS,1550,6.5,1.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,8.5,3.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1590,6.0,6.5,0
M,ASIAN,IN,Low,-1,NONE,CS,1600,8.5,0.0,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1570,5.5,2.5,0
F,ASIAN,CA,High,-1,NONE,ENG,1580,8.5,7.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,0
OTHER,-1,NY,Low,PRIVATE,NONE,-1,1560,2.0,0.0,0
OTHER,ASIAN,IN,High,-1,NONE,CS,1390,5.5,4.5,2
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,2
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,2
M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,2
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,2
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,2
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,2
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,2
M,WHITE,MA,Low,-1,NONE,CS,1570,3.5,1.0,2
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,2
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,2
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,2
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,2
M,-1,MO,Low,PRIVATE,NONE,ENG,1440,7.5,5.5,2
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,2
M,ASIAN,OR,Low,-1,NONE,ENG,1540,6.5,4.5,2
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,2
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,2
M,WHITE,OR,Middle,PUBLIC,NONE,CS,1520,5.5,0.0,2
M,WHITE,-1,Low,CHARTER,NONE,CS,1580,5.5,2.5,2
M,WHITE,IN,High,PUBLIC,NONE,ENG,1570,7.5,3.5,2
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1510,7.5,6.5,2
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,2
M,ASIAN,TN,-1,INTERNATIONAL,NONE,CS,1560,6.5,6.5,2
F,WHITE,MI,High,PUBLIC,NONE,CS,1310,8.5,3.5,2
M,ASIAN,OR,High,PRIVATE,NONE,CS,1600,8.5,6.5,2
M,ASIAN,OR,High,PRIVATE,NONE,CS,1530,8.5,7.2,2
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,2
F,ASIAN,CA,Low,-1,NONE,CS,1530,6.5,3.75,2
F,WHITE,CA,High,PUBLIC,NONE,ENG,1560,6.5,2.5,2
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1540,5.5,8.7,2
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,2
M,ASIAN,UT,Low,INTERNATIONAL,NONE,CS,1560,7.5,6.5,2
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5.0,7.8,2
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1530,6.5,7.5,2
M,WHITE,-1,Low,-1,NONE,CS,1590,5.5,3.5,2
F,ASIAN,UT,Middle,INTERNATIONAL,NONE,CS,1590,6.5,4.5,2
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,2
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,2
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,2
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,2
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,2
M,ASIAN,MI,Low,PUBLIC,LEGACY,CS,1310,4.5,4.5,2
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,2
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,2
