Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,0
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,0
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,0
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,0
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,0
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,0
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,0
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,0
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,WHITE,MA,High,-1,NONE,CS,1490,4.5,7.0,0
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,0
M,BLACK,IL,Low,PRIVATE,NONE,CS,1520,5.5,3.5,0
M,BLACK,UT,Low,PUBLIC,URM,BIO,1480,6.5,8.7,0
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,0
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,0
M,HISPANIC,IN,Low,PUBLIC,URM,BIO,1510,6.5,4.5,0
M,ASIAN,MA,High,PUBLIC,LEGACY,ENG,1570,6.5,4.5,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,0
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,0
F,ASIAN,IL,Low,-1,URM,ENG,1510,3.5,0.0,0
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,0
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1550,3.0,6.7,0
F,WHITE,IL,Low,PUBLIC,NONE,BIO,1430,3.5,7.3,0
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,0
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,0
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,0
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,0
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,0
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,0
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,0
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,0
F,WHITE,IL,High,PUBLIC,NONE,ENG,1570,7.0,6.8,0
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,0
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,0
F,ASIAN,OR,High,PUBLIC,NONE,BUSINESS,1560,6.5,3.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,0
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,0
M,WHITE,IN,Low,PRIVATE,NONE,-1,1560,6.5,3.5,0
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,WHITE,CA,High,PRIVATE,LEGACY,-1,1510,6.5,7.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,0
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,ASIAN,TN,Low,PUBLIC,NONE,BUSINESS,1390,6.5,3.7,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1270,5.0,6.5,0
F,BLACK,NY,Low,PUBLIC,URM,PREMED,1430,5.0,4.2,0
M,WHITE,MI,-1,PRIVATE,LEGACY,CS,1540,6.5,4.7,0
M,ASIAN,MI,High,PUBLIC,NONE,BIO,1560,8.5,3.5,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1510,5.0,6.5,0
M,ASIAN,OH,Low,PUBLIC,NONE,CS,1520,7.5,7.5,0
F,BLACK,NY,Low,PRIVATE,URM,PSYCH,1490,6.5,6.8,0
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1510,1.0,6.3,0
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,0
M,ASIAN,WA,Middle,INTERNATIONAL,NONE,ENG,1420,6.5,3.5,0
M,HISPANIC,MI,Low,PRIVATE,FIRST-GEN,CS,1460,6.5,3.7,0
F,ASIAN,PA,High,PRIVATE,NONE,PSYCH,1550,6.5,4.5,0
F,WHITE,PA,Low,PRIVATE,URM,ENG,1510,4.5,1.5,0
F,WHITE,OH,Low,PUBLIC,NONE,ENG,1420,5.5,6.5,0
F,-1,CO,Low,PRIVATE,NONE,HISTORY,1570,8.5,4.5,0
