Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,GA,Middle,PUBLIC,NONE,-1,1580,6.5,6.3,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,0
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,0
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,0
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,0
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,0
F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,0
M,ASIAN,NY,Low,-1,NONE,-1,1510,3.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,0
F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,0
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,0
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,0
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,1240,4.5,2.5,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,0
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,0
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,0
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5.0,7.8,0
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1580,6.5,7.9,0
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,0
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,0
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,0
M,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.0,0
M,WHITE,LA,High,PUBLIC,NONE,CS,1570,4.5,2.5,0
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,0
F,ASIAN,OR,High,PUBLIC,NONE,BUSINESS,1560,6.5,3.5,0
M,WHITE,MA,Low,PUBLIC,NONE,CS,1530,8.5,2.5,0
F,WHITE,VA,High,PUBLIC,NONE,CS,1550,6.5,7.5,0
M,ASIAN,PA,Low,PRIVATE,LEGACY,ENG,1580,5.5,4.7,0
M,WHITE,FL,Low,PUBLIC,URM,CS,1480,6.5,2.5,0
F,ASIAN,CA,High,PRIVATE,NONE,CS,1440,6.5,7.5,0
M,ASIAN,IN,High,PRIVATE,NONE,CS,1500,8.5,6.8,0
M,BLACK,CA,Low,PUBLIC,URM,CS,1410,6.5,7.5,0
F,ASIAN,CO,Low,-1,NONE,BUSINESS,1540,6.5,1.0,0
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,0
M,BLACK,CO,High,MAGNET,URM,CS,1490,6.5,6.5,0
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1580,7.5,7.5,0
F,WHITE,CA,High,SMALL,NONE,CS,1510,7.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,MATH,1570,8.5,7.8,0
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1500,7.5,7.2,0
OTHER,ASIAN,OR,Low,PUBLIC,NONE,BIO,1510,6.5,8.2,0
M,ASIAN,CA,Low,-1,NONE,-1,1570,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,0
F,WHITE,OH,Low,PUBLIC,NONE,ENG,1420,5.5,6.5,0
F,-1,CO,Low,PRIVATE,NONE,HISTORY,1570,8.5,4.5,0
T,ASIAN,OR,Low,PRIVATE,NONE,CS,1580,3.5,6.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1570,5.5,2.5,0
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1590,7.5,7.5,0
F,ASIAN,CA,High,PRIVATE,NONE,CS,1550,6.5,4.5,0
M,ASIAN,WA,Low,PRIVATE,NONE,-1,1550,6.5,2.5,0
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,0
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,0
M,WHITE,MI,High,PUBLIC,LEGACY,CS,1510,7.5,7.0,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,2.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
F,BLACK,-1,Low,PUBLIC,NONE,ENG,1360,6.5,2.5,0
F,ASIAN,CA,High,PUBLIC,NONE,MATH,1580,4.5,6.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.8,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1560,7.5,2.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
F,ASIAN,OR,High,-1,FIRST-GEN,CS,1600,7.5,8.5,0
OTHER,-1,NY,Low,PRIVATE,NONE,-1,1560,2.0,0.0,0
F,BLACK,OR,High,PUBLIC,FIRST-GEN,MATH,1140,5.5,4.2,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
M,BLACK,CA,High,PUBLIC,URM,CS,1520,2.5,4.2,0
M,WHITE,PA,Low,PUBLIC,LEGACY,CS,1580,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1580,8.5,2.5,0
M,WHITE,-1,Middle,PUBLIC,LGBT,ENG,1500,5.0,6.2,0
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,0
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,1240,4.5,2.0,2
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,2
M,ASIAN,INTERNATIONAL,High,PRIVATE,NONE,CS,1570,4.5,3.7,2
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,2
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,2
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,2
M,ASIAN,-1,Low,PUBLIC,FIRST-GEN,BUSINESS,1480,5.5,7.2,2
