Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,6,5,2,5,3,1,1390,5.0,4.5,0
1,6,20,2,5,3,0,1560,7.5,6.8,0
1,3,23,2,4,4,1,1520,5.5,4.5,0
1,2,20,1,5,3,4,1570,6.5,6.2,0
1,2,4,1,5,0,0,1430,5.5,2.5,0
1,3,24,2,5,4,13,1470,6.5,2.5,0
0,2,14,1,5,3,4,1560,6.5,4.2,0
1,2,3,2,5,1,5,1540,6.5,4.7,0
1,2,24,1,5,0,5,1530,7.5,2.5,0
0,2,20,1,5,1,13,1570,6.5,4.5,0
1,6,12,3,5,3,13,1590,6.5,6.7,0
1,2,27,0,6,3,1,1570,8.5,7.5,0
1,2,25,2,5,3,5,1540,3.5,2.5,0
0,2,0,2,0,3,0,1580,6.5,7.5,0
0,3,14,2,0,4,0,1510,7.5,0.0,0
1,3,3,2,5,4,4,1490,8.5,4.5,0
0,2,9,2,0,0,4,1590,8.5,3.5,0
1,5,12,2,4,3,4,1240,5.0,7.8,0
1,5,4,2,5,0,1,1430,8.5,6.5,0
1,6,0,2,0,3,4,1590,5.5,3.5,0
0,2,3,2,5,3,9,1570,6.5,6.5,0
3,0,3,2,4,3,4,1520,6.5,2.5,0
1,6,20,2,5,3,7,1600,7.5,8.7,0
0,2,0,2,0,0,2,1540,6.5,1.5,0
0,0,4,1,5,4,3,1500,6.5,3.7,0
1,2,6,2,0,3,1,1560,8.5,7.5,0
1,2,20,2,0,3,15,1550,7.5,1.0,0
1,2,3,2,5,3,4,1580,6.5,6.8,0
1,6,12,2,0,4,4,1490,5.0,1.0,0
0,6,18,2,5,3,7,1550,5.0,7.5,0
1,2,25,2,0,3,3,1540,5.5,8.2,0
1,2,9,1,4,3,5,1540,8.5,7.5,0
1,2,23,2,5,3,4,1580,7.5,7.5,0
0,2,22,2,5,3,1,1580,8.5,6.5,0
1,3,25,1,4,4,7,1520,5.5,7.5,0
0,3,6,2,5,4,10,1260,3.5,8.5,0
1,2,3,2,5,0,4,1560,7.5,1.5,0
1,2,0,0,4,3,6,1570,8.5,7.5,0
1,6,5,2,4,3,4,1490,7.5,4.5,0
0,2,22,2,5,3,4,1570,8.5,8.5,0
0,2,22,2,5,3,4,1570,8.5,8.5,0
2,3,3,2,4,0,1,1230,8.5,2.5,0
1,6,6,1,5,3,0,1520,2.5,4.2,0
0,2,3,1,5,4,0,1580,8.5,9.5,0
1,6,12,1,5,3,4,1210,6.0,6.5,0
1,3,20,2,5,3,4,1560,8.5,2.5,0
1,2,0,2,5,3,4,1500,8.5,2.5,0
3,0,20,2,4,3,0,1560,2.0,0.0,0
1,2,0,1,5,3,15,1580,4.5,7.8,0
1,6,20,2,4,1,4,1510,8.5,4.5,0
0,0,0,2,5,3,4,1570,7.5,8.1,0
1,6,2,1,1,2,17,1570,7.5,6.5,0
1,3,23,2,4,4,1,1520,5.5,4.5,2
1,2,6,1,0,3,4,1480,5.0,4.5,2
0,3,15,2,5,4,4,1420,6.5,7.5,2
1,6,3,1,5,1,4,1480,5.0,4.7,2
1,2,12,1,5,3,4,1560,6.5,6.5,2
1,2,4,1,5,0,0,1430,5.5,2.5,2
1,2,3,2,5,4,4,1100,5.0,7.2,2
0,3,3,2,5,4,1,1080,1.5,6.2,2
1,2,24,2,5,3,4,1480,8.2,5.5,2
0,6,20,1,0,3,4,1540,3.5,4.5,2
0,2,16,2,3,0,5,1530,6.5,4.2,2
1,2,3,1,4,3,4,1550,7.5,6.5,2
1,2,0,0,5,3,2,1570,8.5,4.5,2
1,3,17,2,5,4,4,1530,6.5,4.7,2
1,6,14,2,5,4,4,1450,2.5,4.2,2
1,3,24,2,5,4,13,1470,6.5,2.5,2
1,6,9,2,0,4,4,1580,6.5,6.5,2
0,6,24,0,5,1,4,1510,3.5,3.7,2
0,2,14,1,5,3,4,1560,6.5,4.2,2
1,2,9,1,4,3,4,1540,8.5,7.3,2
0,6,3,1,5,3,4,1500,5.5,4.5,2
0,6,5,2,5,3,1,1480,5.5,2.5,2
0,3,25,2,0,3,8,1170,5.5,1.0,2
1,6,14,2,5,3,4,1520,6.5,7.2,2
1,2,22,2,0,3,5,1540,6.5,4.5,2
1,3,8,2,4,3,4,1520,5.5,3.5,2
1,2,3,3,5,3,7,1470,6.5,7.5,2
0,2,3,1,5,3,4,1300,3.5,7.2,2
1,2,12,2,4,3,1,1550,8.5,7.2,2
1,2,6,2,5,1,5,1570,6.5,6.5,2
1,2,24,3,5,3,4,1550,5.5,2.5,2
0,6,5,2,4,4,1,1510,5.5,4.7,2
1,6,27,1,4,3,13,1480,5.0,6.5,2
0,4,20,2,5,0,2,1450,4.5,2.5,2
1,2,7,0,0,3,0,1570,3.5,3.5,2
1,2,3,1,5,3,4,1500,6.5,8.2,2
1,2,25,2,2,0,4,1410,3.5,7.8,2
1,6,10,2,4,3,4,1550,5.5,6.5,2
1,1,10,2,4,0,6,1320,6.5,4.2,2
2,6,9,2,5,3,17,1460,6.5,7.2,2
1,2,3,1,5,3,4,1500,6.5,7.8,2
1,6,3,2,5,1,5,1550,7.5,6.8,2
0,4,5,2,5,4,4,1540,5.5,8.7,2
1,6,4,0,5,3,3,1540,7.5,7.5,2
1,6,12,0,0,3,4,1550,0.0,4.5,2
