Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,0
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
M,ASIAN,IN,High,PRIVATE,NONE,POLISCI,1580,6.5,5.5,0
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,0
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,0
M,ASIAN,UT,High,PUBLIC,NONE,POLISCI,1310,7.5,6.5,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,0
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,0
M,ASIAN,GA,Low,-1,LGBT,CS,1510,8.5,2.5,0
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,ASIAN,IN,High,PUBLIC,NONE,ENG,1590,6.5,7.8,0
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,0
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,0
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,0
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,0
M,WHITE,-1,Low,-1,NONE,CS,1590,5.5,3.5,0
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
OTHER,-1,CA,Low,PRIVATE,NONE,CS,1520,6.5,2.5,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,0
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,HISPANIC,CO,Low,PRIVATE,URM,BIO,1590,6.5,6.5,0
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,0
F,-1,WA,Low,PUBLIC,LEGACY,ENG,1250,6.5,4.5,0
NB,WHITE,FL,Low,-1,LEGACY,ENVIRONMENTAL STUDIES,1250,4.0,4.5,0
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,0
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,8.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1590,6.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,MATH,1570,8.5,7.8,0
F,WHITE,TX,Low,PUBLIC,FIRST-GEN,ENG,1530,7.5,3.7,0
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1520,5.5,7.2,0
F,BLACK,CO,High,PUBLIC,URM,PSYCH,1530,5.5,4.2,0
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,0
M,ASIAN,VA,Low,PUBLIC,FIRST-GEN,CS,1510,6.5,7.5,0
M,BLACK,CA,Low,-1,NONE,POLISCI,1510,6.5,2.5,0
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,0
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,0
F,BLACK,GA,Low,PUBLIC,URM,LAW,1260,3.5,8.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,7.5,4.7,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,0
M,WHITE,MI,Low,PUBLIC,NONE,CS,1510,7.5,7.3,0
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,5.5,2.5,0
F,BLACK,GA,Low,PUBLIC,NONE,BIO,1550,5.5,7.8,0
M,BLACK,MI,Low,PRIVATE,URM,CS,1550,7.5,6.8,0
M,ASIAN,MI,Low,PUBLIC,NONE,POLISCI,1550,7.0,7.5,0
M,WHITE,UT,High,PUBLIC,NONE,POLISCI,1600,7.5,6.2,0
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,0
M,WHITE,CA,Low,PUBLIC,URM,MATH,1560,6.5,4.7,0
M,ASIAN,-1,High,PUBLIC,NONE,NEUROSCIENCE,1520,6.5,8.3,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
M,BLACK,NY,Low,PUBLIC,NONE,CS,1560,8.5,2.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,0
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,0
M,ASIAN,IA,Low,-1,NONE,ENG,1560,7.5,0.0,0
