Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,MA,Low,-1,NONE,PSYCH,1430,2.0,8.0,0
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,0
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,0
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,0
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,1370,6.5,4.5,0
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,0
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,0
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,0
F,WHITE,NY,Middle,PRIVATE,NONE,CS,1470,6.5,6.2,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,0
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,0
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
M,WHITE,NY,Low,PUBLIC,LEGACY,CS,1490,1.0,6.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,6.5,7.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,0
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,0
NB,BLACK,IN,Low,PUBLIC,NONE,ENG,1120,5.5,6.5,0
M,WHITE,LA,High,PRIVATE,NONE,NEUROSCIENCE,1570,6.0,4.7,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,1430,4.5,6.8,0
M,ASIAN,IN,Low,PRIVATE,NONE,BUSINESS,1470,8.5,6.5,0
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1520,7.5,5.8,0
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,0
F,ASIAN,LA,High,PUBLIC,NONE,POLISCI,1520,6.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.0,7.8,0
F,BLACK,GA,Low,PUBLIC,NONE,BIO,1550,5.5,7.8,0
M,ASIAN,CA,High,PRIVATE,NONE,BIO,1520,5.0,6.8,0
F,WHITE,FL,Low,MAGNET,LEGACY,POLISCI,1420,5.5,4.2,0
M,HISPANIC,FL,Low,-1,FIRST-GEN,UNDECIDED,1480,2.5,3.5,0
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1480,3.5,2.5,0
M,ASIAN,-1,Low,PUBLIC,LGBT,BIO,1480,3.5,3.5,0
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,0
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1580,4.5,7.8,0
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1450,8.5,7.5,0
M,ASIAN,CA,Low,-1,NONE,LAW,1560,5.5,7.5,0
F,ASIAN,IL,Low,-1,NONE,CS,1580,7.5,4.5,0
F,ASIAN,MI,Middle,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1550,3.5,5.2,0
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,0
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,2
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,2
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,2
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,2
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,2
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2.0,3.5,2
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2.0,3.5,2
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1550,7.5,6.5,2
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,2
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,2
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,2
F,WHITE,CA,Low,PUBLIC,LEGACY,POLISCI,1380,5.5,7.8,2
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1430,6.0,7.8,2
M,ARAB,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,ENVIRONMENTAL STUDIES,1320,6.5,4.2,2
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,2
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1430,6.0,8.1,2
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,HEALTH SCIENCES,1520,6.0,4.5,2
M,WHITE,CO,-1,PUBLIC,NONE,CHEMISTRY,1540,7.5,7.5,2
F,WHITE,USA,Middle,PUBLIC,NONE,CS,1590,9.5,8.5,2
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,2
M,WHITE,WA,Low,PRIVATE,NONE,CS,1540,7.5,6.2,2
M,WHITE,MA,Low,PUBLIC,LEGACY,PSYCH,1530,6.5,4.5,2
M,WHITE,NY,Low,PUBLIC,LEGACY,CS,1490,1.0,6.5,2
F,ASIAN,IN,-1,PRIVATE,NONE,ENG,1450,4.0,3.7,2
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,2
M,WHITE,MA,Low,PUBLIC,LEGACY,CS,1520,1.0,7.3,2
M,ASIAN,CO,Middle,PUBLIC,LEGACY,-1,1520,5.5,2.5,2
M,ASIAN,CO,Low,PUBLIC,NONE,BIO,1570,7.5,6.5,2
F,-1,WA,Low,PUBLIC,LEGACY,ENG,1250,6.5,4.5,2
F,ASIAN,CA,-1,PUBLIC,NONE,BIO,1520,7.5,7.5,2
M,ASIAN,MI,Low,PUBLIC,NONE,HEALTH SCIENCES,1550,7.5,8.5,2
F,WHITE,FL,Low,MAGNET,LEGACY,POLISCI,1420,5.5,4.5,2
F,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1210,5.0,2.5,2
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,2
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1530,6.5,4.2,2
