Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,0
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,0
F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,0
F,WHITE,-1,Low,PUBLIC,FIRST-GEN,MEDIA STUDIES,1420,5.0,6.5,0
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,0
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,0
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,0
F,WHITE,FL,Low,PUBLIC,URM,BUSINESS,1430,4.5,2.5,0
F,ASIAN,MA,High,PUBLIC,NONE,POLISCI,1470,5.5,3.7,0
F,ASIAN,OR,Low,PRIVATE,FIRST-GEN,PSYCH,1030,1.0,2.5,0
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,0
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,0
F,BLACK,CO,Low,SMALL,URM,CS,1310,6.5,7.5,0
F,WHITE,NY,Low,PUBLIC,NONE,LAW,1450,6.5,3.7,0
F,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,4.2,0
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,0
M,WHITE,PA,Low,PUBLIC,FIRST-GEN,POLISCI,1450,3.5,2.5,0
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,0
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,1360,6.5,6.5,0
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,0
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1520,6.5,6.5,0
F,WHITE,GA,High,PUBLIC,LGBT,MEDIA STUDIES,1200,3.5,2.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1550,7.5,8.3,0
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,0
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,0
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
F,ASIAN,UT,Low,PUBLIC,NONE,SOCIAL SCIENCES,1420,7.5,6.8,0
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,0
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,0
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,0
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,0
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,0
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
M,WHITE,CA,Low,-1,URM,HISTORY,1580,5.5,8.5,0
F,ASIAN,IA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1500,7.5,4.2,0
M,WHITE,CO,High,PRIVATE,NONE,-1,1440,4.5,7.5,0
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,0
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,0
F,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1380,3.5,5.0,0
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,0
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,0
NB,ASIAN,MA,Low,CHARTER,FIRST-GEN,CS,1380,5.5,2.5,0
F,ASIAN,-1,Low,PUBLIC,LEGACY,CS,1570,6.5,2.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,7.5,2.5,0
F,BLACK,MI,High,PUBLIC,URM,CS,1470,5.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1400,2.0,2.5,0
F,BLACK,NY,Low,PUBLIC,URM,PREMED,1430,5.0,4.2,0
F,WHITE,NE,Low,PUBLIC,NONE,HISTORY,1550,5.0,7.5,0
M,ASIAN,MI,High,PUBLIC,NONE,BIO,1560,8.5,3.5,0
M,BLACK,NY,Low,PUBLIC,URM,CS,1410,6.5,8.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1580,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,6.5,7.8,0
F,WHITE,CA,-1,PRIVATE,NONE,CS,1530,5.5,6.8,0
M,ASIAN,LA,Low,CHARTER,NONE,BIO,1560,6.5,7.0,0
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1510,1.0,6.3,0
M,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.0,4.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1400,6.5,3.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1540,7.5,3.7,0
M,WHITE,WA,Low,-1,NONE,POLISCI,1250,6.5,2.5,0
M,ASIAN,CO,Middle,PUBLIC,NONE,POLISCI,1580,6.0,4.2,0
F,ASIAN,WA,-1,PUBLIC,NONE,BUSINESS,1420,7.5,6.5,0
F,ASIAN,MI,Low,PUBLIC,LEGACY,ARTS,1420,1.0,6.8,0
F,ASIAN,IL,-1,INTERNATIONAL,NONE,CS,1460,5.0,2.5,0
M,WHITE,UT,High,PUBLIC,NONE,PREMED,1340,4.0,4.2,0
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1530,8.5,8.1,0
F,ASIAN,AL,Low,-1,NONE,CS,1530,6.5,4.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,ENG,1410,1.0,8.5,0
OTHER,WHITE,-1,Low,PRIVATE,NONE,POLISCI,1310,6.5,6.5,0
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.0,2.5,0
F,WHITE,IL,Low,PUBLIC,NONE,CS,1400,6.5,7.5,0
M,WHITE,ID,Low,-1,NONE,PSYCH,1430,6.5,9.5,0
M,WHITE,ID,Low,-1,NONE,PSYCH,1430,6.5,9.5,0
M,WHITE,TX,High,PUBLIC,LEGACY,-1,1570,6.5,7.5,0
F,WHITE,MI,Low,PRIVATE,URM,PSYCH,1540,5.0,6.5,0
F,ASIAN,CO,Low,PUBLIC,NONE,DESIGN,1450,6.5,8.5,0
M,BLACK,GA,High,PRIVATE,URM,SOCIAL SCIENCES,1380,3.0,2.5,0
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,0
M,ASIAN,MA,Low,PUBLIC,NONE,BUSINESS,1540,6.5,7.2,0
F,ASIAN,OR,High,PUBLIC,NONE,POLISCI,1510,4.0,4.7,0
M,WHITE,TX,-1,PUBLIC,NONE,MEDIA STUDIES,1340,3.0,6.8,0
M,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1570,7.5,6.2,0
M,ASIAN,IL,High,PUBLIC,NONE,BUSINESS,1500,5.5,9.0,0
M,ASIAN,IL,High,PUBLIC,NONE,BUSINESS,1500,4.5,9.0,0
F,ASIAN,IL,Low,-1,NONE,CS,1580,7.5,4.5,0
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,0
M,WHITE,AZ,High,CHARTER,LGBT,SOCIAL SCIENCES,1570,7.5,6.5,0
M,WHITE,TX,Low,PRIVATE,NONE,CS,1570,1.5,3.5,0
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1370,2.0,2.5,2
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,2
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,2
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,2
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,2
M,ASIAN,-1,Low,MAGNET,NONE,CS,1550,6.5,3.5,2
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,2
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,2
F,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,7.5,7.8,2
F,WHITE,CO,Low,PRIVATE,NONE,BUSINESS,1560,6.5,2.5,2
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,1320,6.5,8.5,2
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,1320,7.5,7.8,2
M,MIXED,OR,Low,-1,FIRST-GEN,ENVIRONMENTAL STUDIES,1450,5.5,1.5,2
M,BLACK,GA,High,PRIVATE,URM,SOCIAL SCIENCES,1380,2.0,3.5,2
M,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,0.0,2.5,2
M,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,0.0,2.5,2
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,5.0,6.5,2
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,6.5,6.5,2
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,1
M,WHITE,FL,-1,PUBLIC,NONE,BUSINESS,1280,1.0,6.5,1
F,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1210,5.0,2.5,1
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,1
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,1
M,WHITE,USA,Low,PUBLIC,FIRST-GEN,CS,1340,6.5,7.5,1
M,WHITE,CA,Low,PRIVATE,NONE,ENG,1330,8.5,6.5,1
