Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,0
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,0
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,0
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,0
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,0
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,0
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
F,ASIAN,CA,Low,PUBLIC,NONE,LAW,1310,6.5,8.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1540,5.5,8.7,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
M,WHITE,WA,-1,PUBLIC,NONE,-1,1560,3.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,0
M,WHITE,NY,Low,PUBLIC,NONE,HISTORY,1600,7.5,8.7,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
F,BLACK,TX,Middle,PUBLIC,URM,-1,1470,7.5,2.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
M,WHITE,CA,Low,PRIVATE,NONE,CS,1550,7.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,0
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,0
F,HISPANIC,OR,High,PUBLIC,URM,HEALTH SCIENCES,1420,6.5,8.5,0
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,0
M,HISPANIC,TX,Low,-1,FIRST-GEN,CS,1320,2.0,7.2,0
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,0
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,0
T,ASIAN,GA,Low,PUBLIC,LGBT,ENG,1570,6.5,7.5,0
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,0
F,ASIAN,CA,High,-1,NONE,PREMED,1540,2.5,7.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1530,3.5,6.5,0
M,BLACK,NY,Low,PUBLIC,NONE,CS,1560,8.5,2.5,0
M,HISPANIC,TX,Low,-1,FIRST-GEN,-1,1320,2.0,6.5,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,0
M,ASIAN,-1,High,PRIVATE,NONE,CS,1560,5.5,6.5,0
