Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,NY,Low,PUBLIC,NONE,CS,1550,8.5,8.0,0
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3.0,2.5,0
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,0
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,0
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,0
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,0
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,0
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,0
M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,0
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,0
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
M,BLACK,UT,Low,PUBLIC,URM,BIO,1480,6.5,8.7,0
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1530,5.5,8.2,0
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,0
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,0
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,0
NB,WHITE,CA,High,PUBLIC,NONE,CS,1600,7.5,8.5,0
F,BLACK,MI,Low,PUBLIC,URM,CS,1450,7.5,2.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1540,6.5,7.6,0
M,WHITE,CO,Low,-1,NONE,CHEMISTRY,1560,7.5,2.5,0
F,ASIAN,MI,Middle,PRIVATE,NONE,BIO,1580,4.5,8.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,BLACK,GA,High,PUBLIC,URM,CS,1530,3.5,7.8,0
F,HISPANIC,-1,Low,PUBLIC,URM,-1,1300,5.0,6.8,0
NB,WHITE,IN,Low,PUBLIC,NONE,SOCIAL SCIENCES,1460,6.5,7.2,0
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,0
