Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,0
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,0
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,0
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,0
M,ASIAN,NY,Low,-1,NONE,-1,1510,3.5,2.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,0
F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,0
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,BLACK,-1,High,PUBLIC,URM,BIO,1520,6.5,3.5,0
