Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,0
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,0
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,0
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1540,3.5,2.5,0
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,0
M,ASIAN,CA,High,PRIVATE,NONE,HISTORY,1440,6.5,7.8,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,WHITE,GA,Low,PRIVATE,URM,CS,1600,6.5,7.5,0
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,7.2,0
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,0
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,0
M,ASIAN,UT,Low,-1,NONE,CS,1430,8.5,8.5,0
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,0
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,0
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1560,7.5,4.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,0
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,6.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,6.5,7.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
F,BLACK,MA,Low,PUBLIC,URM,BIO,1540,5.5,4.2,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,8.5,7.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,0
F,ASIAN,-1,Low,PUBLIC,FIRST-GEN,-1,1510,6.5,4.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
F,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,6.5,0
M,HISPANIC,CO,Low,PRIVATE,URM,BIO,1590,6.5,6.5,0
F,WHITE,MI,Middle,PUBLIC,NONE,INTERNATIONAL RELATIONS,1500,5.5,4.5,0
F,WHITE,CO,Low,-1,NONE,MEDIA STUDIES,1510,6.5,8.5,0
F,ASIAN,MI,High,PUBLIC,NONE,ENG,1500,8.5,7.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,-1,1510,6.5,7.3,0
F,ASIAN,IL,Low,PUBLIC,NONE,CS,1520,7.5,4.5,0
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
M,ASIAN,CA,High,PUBLIC,NONE,PUBLIC POLICY,1560,8.5,8.5,0
F,ASIAN,IN,Low,-1,URM,MUSIC,1520,6.5,4.5,0
F,BLACK,NY,Low,PUBLIC,URM,PREMED,1430,5.0,4.2,0
F,ASIAN,FL,Low,PUBLIC,NONE,ENG,1560,6.5,6.3,0
F,WHITE,NE,Low,PUBLIC,NONE,HISTORY,1550,5.0,7.5,0
M,ASIAN,TX,High,PUBLIC,LEGACY,CS,1490,6.5,6.5,0
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,0
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1500,7.5,7.2,0
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,0
M,WHITE,IN,Low,PRIVATE,NONE,CS,1580,8.5,8.7,0
F,BLACK,GA,Low,PUBLIC,NONE,BIO,1550,5.5,7.8,0
M,ASIAN,CA,Low,-1,NONE,ENG,1520,6.5,8.5,0
M,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.0,4.5,0
M,BLACK,MI,Low,PRIVATE,URM,CS,1550,7.5,6.8,0
M,WHITE,CA,Middle,PUBLIC,LEGACY,CS,1550,8.5,6.5,0
M,WHITE,UT,High,PUBLIC,NONE,POLISCI,1600,7.5,6.2,0
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,0
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,2.5,0
M,ASIAN,IL,Low,PUBLIC,NONE,CS,1530,7.5,4.5,0
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,0
F,ASIAN,-1,High,PUBLIC,NONE,CS,1550,4.5,7.5,0
M,ASIAN,-1,High,PUBLIC,NONE,BUSINESS,1570,6.5,4.2,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
M,BLACK,NY,Low,PUBLIC,NONE,CS,1560,8.5,2.5,0
F,HISPANIC,FL,Low,-1,FIRST-GEN,CS,1460,5.5,7.2,0
F,BLACK,DC,Low,PUBLIC,URM,POLISCI,1520,7.5,8.7,0
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1500,8.5,2.5,0
M,WHITE,CA,Low,-1,NONE,CS,1590,7.5,6.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,0
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,0
M,ASIAN,MI,Middle,PUBLIC,NONE,LAW,1550,5.5,7.3,0
M,HISPANIC,-1,High,PUBLIC,NONE,BUSINESS,1500,6.5,6.5,0
M,ASIAN,-1,High,PRIVATE,NONE,CS,1560,5.5,6.5,0
M,ASIAN,IN,Low,PUBLIC,NONE,CS,1570,6.5,2.5,0
F,-1,-1,Low,PUBLIC,NONE,CS,1570,7.5,8.1,0
M,WHITE,CO,Low,PRIVATE,LEGACY,-1,1570,6.5,8.7,0
M,ASIAN,CA,High,CHARTER,NONE,UNDECIDED,1440,6.5,2.5,0
M,HISPANIC,CA,Low,MAGNET,URM,CS,1520,6.5,3.5,0
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,2
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,2
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,2
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,2
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,2
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,2
M,WHITE,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,CS,1540,6.5,7.2,2
M,ASIAN,IL,Low,-1,NONE,PSYCH,1470,6.5,3.5,2
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,2
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,2
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,2
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,2
M,ASIAN,IN,Low,PRIVATE,NONE,ENG,1460,6.0,4.5,2
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,2
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,2
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,2
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,2
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,2
M,WHITE,FL,Middle,PUBLIC,NONE,CS,1540,3.5,4.5,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1550,7.5,6.5,2
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,2
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,2
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,2
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,2
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,2
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,2
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,2
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,2
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,2
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,2
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,2
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,2
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,2
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,2
F,WHITE,FL,Low,PUBLIC,URM,BUSINESS,1430,4.5,2.5,2
M,HISPANIC,CA,Low,PRIVATE,URM,CS,1320,4.5,4.5,2
M,-1,MO,Low,PRIVATE,NONE,ENG,1440,7.5,5.5,2
M,ASIAN,UT,High,PUBLIC,NONE,POLISCI,1310,7.5,6.5,2
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,2
M,WHITE,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,CS,1540,6.5,7.2,2
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,2
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,2
M,ASIAN,OR,Low,-1,NONE,ENG,1540,6.5,4.5,2
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,2
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,2
F,ASIAN,UT,Low,INTERNATIONAL,NONE,ENG,1550,6.5,4.2,2
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,2
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,2
M,ASIAN,IN,Low,PUBLIC,NONE,-1,1400,6.5,2.5,2
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,2
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,2
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,2
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,2
M,ASIAN,OR,Low,PUBLIC,NONE,CS,1540,5.5,2.5,2
M,ASIAN,MA,High,PUBLIC,LEGACY,ENG,1570,6.5,4.5,2
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,2
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,2
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,2
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,2
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,2
M,WHITE,WA,Low,-1,NONE,CS,1510,5.5,4.0,2
M,ASIAN,OR,High,PRIVATE,NONE,CS,1600,8.5,6.5,2
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,2
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.8,2
F,BLACK,VA,Low,-1,URM,PSYCH,1370,5.0,6.5,2
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,2
M,ASIAN,OR,High,PRIVATE,NONE,CS,1530,8.5,7.2,2
M,ASIAN,-1,Low,MAGNET,NONE,CS,1550,6.5,3.5,2
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5.0,3.5,2
M,WHITE,WA,-1,PUBLIC,NONE,CS,1530,6.5,6.5,2
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,2
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1520,6.5,6.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
M,WHITE,FL,Low,PUBLIC,NONE,BUSINESS,1450,5.5,6.3,2
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,2
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,2
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,2
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1550,7.5,8.3,2
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,2
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,2
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,2
F,ASIAN,IL,High,PUBLIC,NONE,ENG,1560,6.5,3.5,2
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,2
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,2
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,2
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,2
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1580,6.5,3.7,2
M,ASIAN,-1,Low,PUBLIC,NONE,ENG,1520,7.5,4.2,2
M,WHITE,VA,High,PUBLIC,LEGACY,HUMANITIES,1400,3.0,6.7,2
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,2
M,ASIAN,CA,Middle,PUBLIC,NONE,CHEMISTRY,1550,6.0,2.5,2
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,2
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,2
T,ARAB,MA,High,-1,URM,CS,1490,5.5,2.5,2
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,2
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,2
M,ASIAN,UT,Low,PUBLIC,FIRST-GEN,ENG,1500,2.5,4.5,2
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1510,5.0,6.5,2
M,WHITE,MA,High,PRIVATE,NONE,PREMED,1530,6.5,4.7,2
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,2
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1560,7.5,4.5,2
M,WHITE,CA,Low,-1,URM,HISTORY,1580,5.5,8.5,2
M,ASIAN,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.1,2
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,2
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,2
