Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,0
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,0
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,0
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
F,WHITE,-1,Low,PUBLIC,URM,CS,1460,6.5,3.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,0
OTHER,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1580,8.5,4.2,0
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,0
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,0
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,0
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1560,7.5,7.5,0
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,0
F,NATIVE,WI,Low,-1,URM,-1,1420,6.5,2.5,0
M,ASIAN,PA,Low,-1,NONE,CS,1590,5.0,2.5,0
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,0
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,0
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
M,ASIAN,MI,Low,CHARTER,LEGACY,BUSINESS,1570,4.5,5.5,0
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,0
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,0
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1560,7.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,8.5,4.5,0
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,ASIAN,UT,High,PRIVATE,NONE,BUSINESS,1600,2.0,4.5,0
F,BLACK,FL,High,PUBLIC,URM,HEALTH SCIENCES,1410,8.5,6.5,0
M,WHITE,OR,Low,PUBLIC,NONE,CHEMISTRY,1570,5.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,8.5,7.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,0
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,0
OTHER,ASIAN,CA,High,PUBLIC,NONE,-1,1580,8.5,4.5,0
M,ASIAN,-1,Low,INTERNATIONAL,NONE,POLISCI,1460,2.0,4.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,0
F,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,6.5,0
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,7.5,2.5,0
F,WHITE,CO,Low,PRIVATE,NONE,BUSINESS,1560,6.5,2.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,0
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
F,ASIAN,IN,Low,-1,URM,MUSIC,1520,6.5,4.5,0
F,ASIAN,CA,Low,-1,LEGACY,BUSINESS,1500,1.0,0.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1480,5.5,0.0,0
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1580,6.5,7.3,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,0
M,ASIAN,CA,High,PRIVATE,NONE,CS,1590,6.5,6.8,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1580,3.5,2.5,0
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,0
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1580,7.5,7.5,0
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1550,3.5,1.0,0
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1580,8.5,6.5,0
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,0
M,ASIAN,WA,Middle,INTERNATIONAL,NONE,ENG,1420,6.5,3.5,0
F,ASIAN,PA,High,PRIVATE,NONE,PSYCH,1550,6.5,4.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1580,8.5,6.8,0
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1590,7.5,7.5,0
NB,ASIAN,OR,-1,PUBLIC,LGBT,BIO,1380,5.0,4.7,0
F,BLACK,CA,High,PRIVATE,URM,PREMED,1550,6.5,7.8,0
F,ASIAN,CA,Low,PUBLIC,NONE,PSYCH,1470,7.5,6.2,0
M,ASIAN,WA,Low,-1,NONE,BUSINESS,1390,6.5,7.9,0
M,WHITE,PA,High,PRIVATE,LEGACY,PSYCH,1580,6.5,7.8,0
OTHER,ASIAN,MA,Low,PUBLIC,NONE,PSYCH,1430,3.5,4.5,0
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,0
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,0
F,ASIAN,PA,Low,PRIVATE,FIRST-GEN,POLISCI,1570,7.5,4.5,0
M,ASIAN,MI,High,PRIVATE,NONE,BIO,1530,6.5,4.0,0
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,0
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1560,7.5,2.5,0
M,ASIAN,-1,High,PUBLIC,NONE,BUSINESS,1570,6.5,4.2,0
F,ASIAN,OR,High,-1,FIRST-GEN,CS,1600,7.5,8.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,0
M,ASIAN,WI,Low,PRIVATE,NONE,-1,1500,8.5,6.5,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,0
F,WHITE,USA,Low,PUBLIC,LEGACY,MEDIA STUDIES,1410,5.0,6.2,0
F,ASIAN,INTERNATIONAL,High,PRIVATE,FIRST-GEN,PHYSICS,1470,6.5,6.5,0
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,0
