Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,0
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,0
F,ASIAN,CA,High,PUBLIC,LEGACY,BIO,1340,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5.0,3.5,0
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,0
F,ASIAN,-1,High,PUBLIC,LEGACY,CS,1590,6.5,4.5,0
F,HISPANIC,CA,High,PUBLIC,URM,-1,1450,6.5,8.3,0
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,0
M,ASIAN,CA,Low,-1,FIRST-GEN,CS,1400,1.0,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1400,2.0,2.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,1560,3.5,4.5,0
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,0
OTHER,ASIAN,CA,-1,PUBLIC,NONE,CS,1520,6.5,8.2,0
M,ASIAN,CA,Low,-1,NONE,CS,1530,7.5,1.5,0
NB,WHITE,CA,Low,PUBLIC,LEGACY,SOCIAL SCIENCES,1310,2.5,6.0,0
M,-1,AL,High,PRIVATE,URM,CS,1580,7.5,4.7,0
F,ASIAN,CA,Low,PUBLIC,NONE,ENG,1530,6.5,6.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1330,1.0,2.0,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1470,4.0,7.5,0
M,HISPANIC,CA,Low,PUBLIC,NONE,MATH,1050,1.0,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1430,7.0,7.2,0
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1400,6.5,3.5,0
M,ASIAN,CA,Low,SMALL,LEGACY,BUSINESS,1350,2.5,2.5,0
F,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1560,5.0,6.5,0
M,HISPANIC,CA,Low,PUBLIC,NONE,ENG,1370,5.0,2.5,0
F,ASIAN,CA,High,PUBLIC,LGBT,ENG,1560,5.0,6.5,0
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,0
