Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,WHITE,FL,Low,PRIVATE,URM,CS,1580,7.5,8.5,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,0
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,0
M,WHITE,IN,High,PUBLIC,NONE,ENG,1570,7.5,3.5,0
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,0
M,HISPANIC,TX,Low,PUBLIC,URM,POLISCI,1530,7.5,7.2,0
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,0
F,ASIAN,PA,Low,PUBLIC,NONE,ENG,1570,4.5,7.2,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,0
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,0
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,0
M,WHITE,CA,High,PRIVATE,URM,POLISCI,1550,7.5,7.5,0
M,WHITE,OR,Low,PUBLIC,NONE,CS,1500,8.5,7.5,0
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
T,WHITE,OR,High,-1,NONE,MATH,1560,6.5,3.5,0
OTHER,-1,CA,Low,PRIVATE,NONE,CS,1520,6.5,2.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,0
