Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,MI,Low,-1,NONE,CS,1440,2.0,4.5,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,0
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,0
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,0
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5.0,7.0,0
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
M,ASIAN,MA,Low,-1,NONE,ENG,1430,6.5,1.0,0
M,WHITE,MA,High,PUBLIC,NONE,-1,1450,7.5,6.5,0
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,0
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,0
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1570,1.0,4.5,0
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,0
F,ASIAN,IN,Low,PUBLIC,NONE,PSYCH,1450,6.5,6.5,0
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,0
M,ASIAN,UT,Low,-1,NONE,CS,1560,8.5,6.8,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,0
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,1590,8.5,4.5,0
M,WHITE,USA,Low,-1,NONE,ENG,1370,6.5,6.7,0
M,ASIAN,IA,-1,-1,NONE,-1,1570,3.5,3.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,0
F,WHITE,IL,Low,PUBLIC,NONE,BIO,1430,3.5,7.3,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,0
M,ASIAN,-1,High,PUBLIC,NONE,MATH,1510,3.0,2.5,0
F,ASIAN,AZ,Low,PUBLIC,NONE,-1,1390,6.5,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,0
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,0
F,ASIAN,IL,High,PUBLIC,NONE,ENG,1560,6.5,3.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,0
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,0
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1530,6.5,7.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1400,2.5,6.8,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,0
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,0
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
F,WHITE,IL,High,PUBLIC,NONE,ENG,1570,7.0,6.8,0
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,0
M,ASIAN,UT,Low,-1,NONE,CS,1560,8.5,6.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,0
M,WHITE,OR,High,PUBLIC,NONE,BUSINESS,1510,7.0,7.2,0
F,ASIAN,IN,-1,PRIVATE,NONE,ENG,1450,4.0,3.7,0
M,WHITE,IN,Low,PRIVATE,NONE,-1,1560,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,8.5,4.5,0
M,WHITE,CA,Low,PRIVATE,LEGACY,CS,1580,7.5,8.2,0
M,WHITE,CA,Low,-1,NONE,ENG,1550,6.5,1.5,0
M,ASIAN,PA,Low,PRIVATE,LEGACY,ENG,1580,5.5,4.7,0
M,WHITE,CA,High,PRIVATE,LEGACY,-1,1510,6.5,7.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,0
M,ASIAN,IN,Low,-1,NONE,CS,1300,6.5,6.5,0
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1500,7.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1570,6.5,6.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,0
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,0
M,ASIAN,-1,Low,-1,NONE,CS,1570,8.5,2.5,0
M,ASIAN,CO,High,PUBLIC,NONE,CS,1590,8.5,4.2,0
M,HISPANIC,CO,High,PUBLIC,NONE,ENG,1530,6.5,2.5,0
F,ASIAN,-1,Low,PUBLIC,LEGACY,CS,1570,6.5,2.5,0
M,ASIAN,GA,Low,PUBLIC,NONE,CS,1570,6.5,8.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,6.0,6.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1540,6.5,1.0,0
F,ASIAN,WA,Middle,PUBLIC,NONE,CS,1540,6.5,6.5,0
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,1320,6.5,8.5,0
M,ASIAN,IN,Middle,PRIVATE,NONE,CS,1470,8.5,7.5,0
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,1320,7.5,7.8,0
F,ASIAN,WA,Middle,PUBLIC,NONE,CS,1540,6.5,6.5,0
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,PUBLIC POLICY,1560,8.5,8.5,0
M,WHITE,IN,Low,PUBLIC,NONE,BIO,1540,7.5,7.5,0
F,ASIAN,CA,Low,-1,LEGACY,BUSINESS,1500,1.0,0.5,0
