Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,0
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,WHITE,FL,Low,PUBLIC,URM,BIO,1430,5.5,7.5,0
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,0
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,0
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,0
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,0
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,0
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,0
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,0
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,0
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,0
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
NB,WHITE,CA,Low,PUBLIC,NONE,ENG,1560,6.5,3.7,0
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,0
M,ASIAN,MI,Low,PUBLIC,LEGACY,CS,1310,4.5,4.5,0
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
F,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1560,6.5,6.5,0
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,NY,Low,PUBLIC,NONE,HISTORY,1600,7.5,8.7,0
M,ASIAN,CA,Low,-1,NONE,NEUROSCIENCE,1560,6.5,0.0,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1570,6.5,6.5,0
M,ASIAN,CO,Low,PUBLIC,NONE,-1,1560,6.5,4.5,0
M,WHITE,LA,Low,PRIVATE,LEGACY,INTERNATIONAL RELATIONS,1510,5.5,7.2,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
