Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,1,14,3,4,3,4,1580,7.5,4.7,0
0,1,2,2,0,3,4,1570,8.5,4.5,0
1,1,0,3,4,3,4,1330,2.5,5.7,0
0,2,0,2,0,4,2,1430,6.5,4.5,0
1,1,0,1,3,3,0,1460,6.5,8.5,0
1,1,0,2,4,3,4,1560,5.5,4.5,0
1,1,0,2,4,3,4,1520,8.5,4.5,0
1,4,10,2,4,4,4,1450,2.5,4.2,0
0,4,12,1,5,4,10,1500,5.5,4.5,0
1,1,2,2,4,2,5,1550,5.5,3.7,0
1,1,13,2,4,3,1,1570,8.5,2.5,0
1,1,15,2,4,3,0,1570,5.5,4.5,0
1,4,0,1,4,3,4,1550,4.5,6.5,0
0,1,0,2,0,3,0,1580,6.5,7.5,0
0,1,13,1,4,3,5,1540,3.5,2.5,0
0,3,13,2,4,0,2,1450,4.5,2.5,0
1,1,8,2,3,3,4,1540,2.5,2.5,0
0,1,6,1,0,3,12,1520,3.0,4.5,0
0,3,0,2,4,4,0,1300,5.0,6.8,0
1,4,1,2,3,1,2,1480,5.5,7.5,0
0,1,8,2,4,3,5,1540,6.5,6.5,0
1,1,14,2,4,3,1,1590,8.5,8.5,0
2,1,3,2,4,0,4,1320,5.5,8.5,0
0,1,12,1,4,1,6,1470,5.0,8.1,0
1,1,0,1,3,1,4,1560,6.5,7.1,0
1,1,3,1,4,1,2,1230,4.5,3.5,0
1,1,0,1,4,1,5,1540,7.5,4.5,0
0,1,18,1,0,3,5,1530,6.5,6.5,0
1,4,0,1,4,1,4,1560,7.5,6.8,0
1,4,2,1,4,3,4,1440,1.0,4.5,0
0,1,0,2,4,0,0,1510,6.5,4.5,0
1,1,14,1,4,3,4,1550,6.5,1.5,0
0,0,3,1,4,4,3,1500,6.5,3.7,0
1,1,0,2,0,3,4,1570,8.5,2.5,0
0,1,0,1,0,3,2,1300,5.0,3.5,0
1,4,0,1,4,3,4,1540,7.5,8.2,0
1,1,10,2,0,3,4,1470,7.5,3.0,0
1,1,2,1,0,3,4,1530,7.5,7.2,0
0,1,8,2,3,3,4,1470,6.5,6.8,0
1,1,0,1,4,0,4,1440,2.0,6.5,0
1,1,4,1,4,3,4,1500,6.5,4.2,0
1,2,3,1,2,4,4,1490,6.5,6.5,0
0,3,14,1,4,4,7,1420,6.5,8.5,0
1,1,2,1,4,3,4,1540,8.5,7.5,0
3,1,14,2,3,3,4,1580,3.5,6.5,0
0,1,8,2,4,3,4,1530,5.5,7.5,0
1,4,7,2,0,1,12,1510,3.5,6.5,0
1,1,10,2,4,3,10,1550,7.0,7.5,0
1,1,12,2,4,1,4,1530,6.5,2.5,0
1,1,12,2,4,3,4,1580,6.5,1.5,0
0,2,16,1,1,3,5,1280,5.5,1.0,0
0,1,2,2,0,3,4,1500,6.5,6.5,0
0,1,18,0,4,3,2,1420,7.5,6.5,0
1,1,0,1,4,3,12,1480,3.5,2.5,0
0,2,14,2,4,4,8,1510,2.5,4.5,0
1,1,0,2,4,2,1,1480,3.5,3.5,0
0,2,12,2,0,4,4,1360,5.5,3.5,0
1,4,14,3,0,3,5,1500,3.5,2.5,0
1,4,14,3,0,3,5,1500,3.5,2.5,0
1,2,14,3,4,4,11,1530,7.5,4.5,0
1,1,4,2,4,3,4,1460,7.5,3.5,0
1,1,0,2,4,3,4,1500,8.5,2.5,0
1,1,16,2,0,3,4,1550,6.5,9.5,0
1,1,12,3,4,3,2,1280,1.0,3.5,0
1,1,0,2,0,3,0,1510,5.5,7.5,0
1,1,0,1,4,3,5,1550,7.5,3.7,0
1,4,2,2,3,3,5,1330,8.5,6.5,0
1,1,9,2,4,3,2,1540,6.5,7.2,0
1,1,9,2,4,3,2,1540,6.5,7.2,0
0,1,14,1,4,3,10,1510,4.0,4.7,0
0,1,0,2,3,3,4,1540,5.5,5.2,0
1,2,2,1,4,4,4,1520,2.5,4.2,0
1,1,18,2,0,3,0,1410,6.5,2.5,0
0,1,0,1,4,3,4,1550,7.5,4.2,0
1,4,0,2,0,1,4,1500,4.5,3.7,0
0,4,17,2,4,1,9,1410,5.0,6.2,0
1,2,8,2,3,3,4,1280,6.5,6.8,0
0,2,4,2,0,0,4,1480,3.5,5.7,0
1,1,8,2,3,3,4,1540,2.5,2.5,2
0,1,18,2,4,3,1,1500,7.5,6.5,2
1,2,14,3,4,4,11,1530,7.5,4.5,2
0,1,0,2,3,3,4,1540,5.5,5.2,2
0,1,5,3,3,0,2,1480,2.5,4.2,2
1,3,11,2,3,4,0,1450,1.0,6.2,1
