Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
OTHER,ASIAN,IN,High,-1,NONE,CS,1390,5.5,4.5,0
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,0
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,0
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,0
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,0
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,0
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,0
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,0
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,0
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,0
T,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,4.5,0
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,0
M,WHITE,WA,-1,PUBLIC,NONE,-1,1560,3.5,4.5,0
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
