Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,0
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,0
M,BLACK,IN,High,PUBLIC,NONE,-1,1470,4.5,7.5,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,0
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
F,ASIAN,-1,High,PUBLIC,LEGACY,CS,1590,6.5,4.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,0
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
F,WHITE,FL,Low,PUBLIC,FIRST-GEN,ENG,1430,7.0,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,0
F,ASIAN,CO,High,PRIVATE,NONE,CS,1540,6.5,4.7,0
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1530,6.5,4.2,0
F,WHITE,TX,Low,PUBLIC,FIRST-GEN,ENG,1530,7.5,3.7,0
F,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1400,5.0,9.2,0
M,ASIAN,CA,High,PRIVATE,NONE,BIO,1520,5.0,6.8,0
M,ASIAN,CO,Low,PUBLIC,FIRST-GEN,HUMANITIES,1510,2.5,6.5,0
M,ASIAN,FL,Low,LARGE,FIRST-GEN,DESIGN,1500,3.5,6.5,0
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,0
M,WHITE,CA,Low,-1,NONE,CS,1590,7.5,6.5,0
F,ASIAN,MI,High,PUBLIC,FIRST-GEN,ENG,1500,6.5,3.7,0
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,0
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,2
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,2
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,2
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,2
NB,WHITE,MA,Middle,-1,NONE,POLISCI,1500,3.5,1.5,2
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,2
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,2
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,2
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,2
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,2
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,2
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,2
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,2
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,2
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,2
M,BLACK,IN,High,PUBLIC,NONE,-1,1470,4.5,7.5,2
M,WHITE,MA,Middle,PUBLIC,NONE,POLISCI,1590,6.5,6.7,2
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,2
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,2
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,2
F,ASIAN,OR,High,PRIVATE,NONE,CS,1540,7.5,7.5,2
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,2
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,2
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,2
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,2
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,2
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,7.3,2
F,WHITE,OR,-1,PUBLIC,LEGACY,CS,1510,6.5,0.0,2
