Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,0
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,0
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,0
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,0
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,0
M,ASIAN,FL,High,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1440,6.5,3.7,0
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,0
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,0
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,0
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,0
M,WHITE,MA,Low,PUBLIC,NONE,CS,1530,8.5,2.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
