Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,MA,Low,-1,NONE,ENG,1430,6.5,1.0,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,0
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,0
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,0
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,0
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,6.8,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,0
F,WHITE,LA,Low,PRIVATE,NONE,CS,1360,3.5,5.5,0
M,ASIAN,WA,Middle,CHARTER,NONE,CS,1590,7.5,4.7,0
F,ASIAN,MI,Low,PUBLIC,URM,BUSINESS,1370,7.5,6.5,0
M,ASIAN,MI,High,PRIVATE,NONE,BIO,1530,6.5,4.0,0
F,ASIAN,WA,Low,PRIVATE,NONE,ENG,1210,5.0,2.5,0
F,ASIAN,CO,Low,PUBLIC,NONE,DESIGN,1450,6.5,8.5,0
F,WHITE,USA,Low,PUBLIC,LEGACY,MEDIA STUDIES,1410,5.0,6.2,0
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,2
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,2
F,BLACK,FL,Low,PUBLIC,URM,BIO,1300,6.5,3.7,2
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,2
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,2
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,2
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,2
F,ASIAN,IL,Low,-1,URM,ENG,1510,3.5,0.0,2
F,WHITE,GA,High,PUBLIC,LEGACY,-1,1300,6.5,2.5,2
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,2
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,2
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,2
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,2
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,2
M,ASIAN,WA,Low,PUBLIC,NONE,PREMED,1460,5.0,2.5,2
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,2
