Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,0,3,2,6,4,6,1280,2.0,4.5,0
0,1,28,2,5,1,13,1570,7.5,4.2,0
0,1,20,2,6,3,4,1600,6.5,7.5,0
1,2,22,2,6,4,0,1450,6.5,4.2,0
1,1,4,1,6,0,0,1430,5.5,2.5,0
0,3,25,2,1,4,10,1400,5.0,1.5,0
1,1,25,1,6,0,6,1530,7.5,2.5,0
0,6,17,1,5,3,7,1540,6.5,6.2,0
1,1,3,2,0,3,4,1550,8.5,1.0,0
0,1,22,3,6,3,4,1530,5.5,8.2,0
1,1,16,2,6,0,4,1550,7.5,7.2,0
1,6,12,2,5,3,4,1550,5.5,6.5,0
1,1,25,1,0,3,7,1490,6.5,3.5,0
0,3,3,2,6,4,6,1530,3.0,7.2,0
1,2,0,3,0,4,4,1510,7.5,2.5,0
4,1,7,1,6,4,14,1580,7.5,8.5,0
0,2,7,3,6,4,4,1500,7.5,4.5,0
0,6,20,2,5,3,0,1320,6.5,9.5,0
0,0,0,2,0,4,4,1500,6.5,1.0,0
3,0,3,2,5,3,4,1520,6.5,2.5,0
0,3,3,2,6,4,6,1530,3.0,6.5,0
1,6,0,1,6,1,4,1560,7.5,6.8,0
1,6,16,0,5,4,4,1510,6.5,8.2,0
0,1,3,2,0,3,2,1400,7.5,4.8,0
1,1,3,1,6,3,11,1540,8.5,4.2,0
1,3,10,2,0,0,4,1220,2.5,2.5,0
1,1,25,3,0,3,0,1560,7.5,8.2,0
0,1,22,2,6,3,0,1510,6.5,7.3,0
1,1,7,2,5,3,6,1550,7.5,8.2,0
1,2,10,2,6,4,4,1430,6.5,9.5,0
1,6,11,2,5,3,4,1580,8.5,8.7,0
1,6,26,1,6,3,13,1600,7.5,6.2,0
0,1,16,2,6,4,2,1370,7.5,6.5,0
1,1,11,2,0,3,0,1540,6.5,4.5,0
1,1,11,2,5,3,4,1520,8.5,7.5,0
1,6,16,1,6,3,6,1510,5.5,6.8,0
0,1,11,0,5,3,4,1570,8.5,5.5,0
1,6,20,2,5,1,4,1510,8.5,4.5,0
1,1,0,2,6,3,4,1590,7.5,8.7,2
1,1,4,2,0,0,2,1530,2.5,3.5,2
1,1,16,2,6,3,4,1550,6.5,6.5,2
0,2,3,2,6,4,1,1080,1.5,6.2,2
1,6,16,1,6,3,6,1460,8.0,7.5,2
0,6,20,1,0,3,4,1540,3.5,4.5,2
1,1,2,2,1,3,4,1600,8.5,7.5,2
0,6,10,1,6,3,4,1600,6.5,7.5,2
1,1,26,1,6,3,13,1310,7.5,6.5,2
0,2,26,2,0,3,8,1170,5.5,1.0,2
1,6,16,2,6,3,4,1520,6.5,7.2,2
1,6,3,1,6,3,4,1600,5.5,6.2,2
1,1,22,2,0,3,6,1540,6.5,4.5,2
1,1,14,1,5,3,4,1510,6.5,6.8,2
0,1,26,2,2,3,6,1550,6.5,4.2,2
1,1,3,2,0,3,4,1550,8.5,1.0,2
1,1,26,2,6,3,4,1560,5.0,4.2,2
0,1,8,1,5,3,1,1590,8.5,6.8,2
1,1,26,2,6,3,6,1540,3.5,2.5,2
1,6,28,1,5,3,13,1480,5.0,6.5,2
1,1,24,0,2,3,4,1560,6.5,6.5,2
0,3,20,2,6,0,2,1450,4.5,2.5,2
2,6,20,1,6,1,0,1430,1.5,2.5,2
1,1,20,2,6,0,4,1430,6.0,7.8,2
1,1,16,2,0,0,4,1310,5.5,2.5,2
0,5,29,2,0,4,0,1420,6.5,2.5,2
1,1,20,2,6,0,4,1430,6.0,8.1,2
4,1,7,1,6,4,14,1580,7.5,8.5,2
1,1,22,2,6,3,1,1590,8.5,8.5,2
1,1,26,2,0,3,5,1490,8.5,3.7,2
1,1,25,2,6,3,1,1570,7.5,7.7,2
0,1,28,2,6,3,8,1530,5.5,4.2,2
1,6,25,1,6,3,4,1590,6.5,3.5,2
1,1,16,2,6,0,4,1550,7.5,7.2,2
