Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,14,1,6,3,16,1580,7.5,7.5,0
1,7,3,2,6,3,2,1540,7.5,7.3,0
1,0,3,2,6,3,5,1540,8.5,4.7,0
1,7,3,1,6,3,0,1470,6.5,7.5,0
0,7,3,1,0,4,2,1080,3.5,1.5,0
1,4,3,2,6,4,0,1330,5.5,6.8,0
0,1,22,1,6,1,3,1430,5.5,7.5,0
1,2,3,2,6,4,5,1100,5.0,7.2,0
1,2,3,1,6,3,5,1440,7.5,4.5,0
0,0,25,2,6,3,19,1560,7.5,4.7,0
1,2,25,2,6,3,0,1550,7.5,4.5,0
1,7,14,2,0,3,5,1570,3.5,1.0,0
0,7,3,2,6,3,7,1350,5.5,2.5,0
1,2,11,1,5,3,5,1540,8.5,7.3,0
1,0,4,2,6,2,0,1380,5.5,1.5,0
1,2,3,2,6,1,7,1540,6.5,4.7,0
1,2,25,1,6,0,7,1530,7.5,2.5,0
1,2,3,2,6,3,17,1560,7.5,6.5,0
0,2,11,2,6,3,5,1590,6.5,3.5,0
1,2,11,1,5,3,17,1580,6.5,5.5,0
0,2,3,2,6,0,5,1340,4.0,2.5,0
0,2,22,2,5,0,19,1030,1.0,2.5,0
1,2,27,1,6,3,17,1310,7.5,6.5,0
0,3,27,2,0,3,11,1170,5.5,1.0,0
1,2,3,2,0,3,5,1550,8.5,1.0,0
1,7,3,1,6,4,5,1530,7.5,4.5,0
0,2,23,1,6,3,5,1570,6.5,4.5,0
1,2,29,0,7,3,2,1570,8.5,7.5,0
0,7,4,1,6,1,7,1430,6.5,6.5,0
1,2,3,3,6,3,7,1520,5.0,6.8,0
1,2,3,1,6,3,5,1530,4.5,6.2,0
1,2,22,2,6,3,7,1500,7.0,4.5,0
0,2,3,2,0,0,7,1400,5.5,1.0,0
0,3,3,2,6,3,5,1360,2.0,2.5,0
0,2,3,1,6,1,2,1340,3.5,2.5,0
0,2,3,1,6,0,2,1540,2.5,4.5,0
1,2,3,2,6,3,7,1460,1.0,4.2,0
0,2,3,2,6,1,17,1540,6.5,6.5,0
0,7,3,2,0,3,2,1510,7.0,5.0,0
0,2,3,2,0,3,5,1530,6.5,3.75,0
1,7,3,2,6,1,7,1550,7.5,6.8,0
0,2,4,2,6,3,0,1550,6.5,4.5,0
1,2,22,2,6,3,2,1590,8.5,8.5,0
4,2,18,2,6,3,5,1480,6.5,7.5,0
1,2,3,3,6,3,4,1550,6.0,2.5,0
1,7,0,1,0,3,7,1430,5.0,6.5,0
0,7,17,2,6,3,5,1450,5.0,2.5,0
0,2,3,2,5,4,7,1510,8.5,6.5,0
1,2,3,2,0,3,14,1580,6.0,5.2,0
1,2,27,2,0,3,5,1560,8.5,6.5,0
1,2,3,3,6,3,5,1580,6.5,4.2,0
1,7,5,2,0,3,16,1560,7.5,1.0,0
1,2,8,2,5,3,5,1560,7.5,4.5,0
0,2,3,2,1,3,5,1540,5.5,3.5,0
0,5,27,0,5,3,17,1530,5.0,4.5,0
0,2,27,1,6,3,5,1560,7.5,6.5,0
0,2,22,1,6,3,3,1560,6.5,3.5,0
1,2,3,2,6,3,21,1580,3.0,4.8,0
1,2,3,2,0,3,5,1370,6.5,3.5,0
2,2,3,2,6,3,5,1590,3.5,6.2,0
1,3,0,2,0,3,2,1420,7.5,0.0,0
1,2,1,1,5,3,5,1510,7.5,8.5,0
1,2,3,1,6,3,5,1540,6.5,4.7,0
0,2,3,2,6,3,2,1520,3.5,2.5,0
0,2,29,2,0,4,21,1470,4.5,1.5,0
0,3,14,2,6,4,2,1540,5.5,4.2,0
1,2,3,2,6,3,7,1570,6.5,6.5,0
0,2,3,2,6,0,2,1550,6.5,8.5,0
1,2,3,2,5,3,5,1510,7.5,7.5,0
3,2,3,1,6,3,0,1580,8.5,4.5,0
0,2,3,2,0,3,3,1400,7.5,4.8,0
1,2,3,1,6,3,5,1560,5.5,6.5,0
0,2,3,3,6,3,2,1560,7.5,3.7,0
1,2,24,2,6,3,3,1390,6.5,3.7,0
1,0,3,0,6,3,5,1520,3.5,2.5,0
1,2,3,2,6,2,5,1560,3.5,4.5,0
0,2,22,2,6,3,5,1520,7.5,7.8,0
1,2,3,1,6,3,20,1560,8.5,8.5,0
0,7,3,0,6,3,5,1470,6.5,4.5,0
1,2,3,2,0,3,5,1480,5.5,0.0,0
1,7,13,1,5,3,16,1570,6.0,4.7,0
1,7,3,2,5,3,5,1550,7.5,4.5,0
1,2,27,2,0,3,4,1540,5.5,8.2,0
1,2,5,2,5,3,0,1520,7.5,6.5,0
3,2,3,0,6,3,5,1520,6.5,8.2,0
1,2,3,2,6,3,5,1590,6.5,2.5,0
1,7,3,1,6,3,17,1580,4.5,7.5,0
1,2,23,2,6,3,5,1580,7.5,7.5,0
