Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,0
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,0
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1550,6.5,2.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,8.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1490,7.5,7.8,0
M,ASIAN,IN,Low,INTERNATIONAL,NONE,CS,1550,6.5,7.3,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1470,4.0,7.5,0
M,WHITE,CA,High,PUBLIC,NONE,CS,1430,1.0,7.8,0
M,BLACK,IA,High,PRIVATE,URM,CS,1550,1.0,6.5,0
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,0
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.5,0
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.8,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,3.0,3.5,0
M,HISPANIC,CA,Low,SMALL,FIRST-GEN,BIO,1320,6.5,2.5,0
M,ASIAN,CA,Low,-1,NONE,ENG,1350,6.5,4.2,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1580,6.5,7.5,0
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,2
M,ASIAN,MI,Low,PUBLIC,LEGACY,CS,1310,4.5,4.5,2
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,6.5,4.2,1
