Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,1,2,1,3,3,0,1430,5.5,4.2,0
0,1,2,2,0,3,3,1570,8.5,4.5,0
0,4,2,1,0,4,0,1080,3.5,1.5,0
1,1,2,2,3,2,4,1550,5.5,3.7,0
0,1,2,1,3,3,3,1300,3.5,7.2,0
0,4,5,2,3,3,9,1200,6.5,7.5,0
0,1,2,1,3,1,0,1340,3.5,2.5,0
0,1,4,2,3,0,3,1540,5.5,3.5,0
1,1,0,1,3,3,8,1510,3.0,2.5,0
0,1,2,2,3,1,9,1540,6.5,6.5,0
0,4,2,2,3,3,3,1540,6.5,6.2,0
0,1,12,2,3,3,6,1530,5.5,4.2,0
1,1,2,3,3,3,2,1550,6.0,2.5,0
0,1,2,2,2,4,4,1510,8.5,6.5,0
0,1,11,2,2,3,4,1560,1.0,2.5,0
1,1,7,1,2,3,4,1480,6.0,2.5,0
0,1,2,2,1,3,3,1540,5.5,3.5,0
0,1,2,1,3,3,3,1530,6.5,4.1,0
1,1,2,2,3,0,0,1550,6.5,8.0,0
1,1,0,1,3,1,4,1540,7.5,4.5,0
1,1,2,3,3,3,3,1480,5.5,3.7,0
1,1,2,2,0,3,3,1500,7.5,6.5,0
1,1,2,2,3,0,7,1490,6.5,2.5,0
1,3,2,2,3,4,3,1470,7.5,6.5,0
1,1,0,2,0,3,3,1570,8.5,2.5,0
0,1,2,2,0,3,1,1400,7.5,4.8,0
1,1,2,2,3,2,3,1560,3.5,4.5,0
1,1,2,1,3,0,3,1390,4.0,4.5,0
0,4,2,0,3,3,3,1470,6.5,4.5,0
3,1,2,0,3,3,3,1520,6.5,8.2,0
1,1,2,2,3,3,3,1590,6.5,2.5,0
2,4,2,2,3,1,11,1310,2.5,6.0,0
0,4,2,1,4,3,3,1510,7.5,2.5,0
0,4,2,0,2,3,3,1530,5.5,6.8,0
0,1,2,3,3,3,0,1520,5.5,7.2,0
1,1,2,1,3,3,3,1540,8.5,7.5,0
1,1,2,1,3,3,3,1490,7.5,7.8,0
1,1,3,1,2,3,10,1520,5.0,7.5,0
0,1,2,1,3,3,4,1570,5.5,2.5,0
1,1,2,2,0,3,4,1520,6.5,8.5,0
0,4,1,1,3,3,9,1440,2.5,7.3,0
1,1,2,1,3,3,3,1470,4.0,7.5,0
1,3,2,2,3,3,8,1050,1.0,4.5,0
1,1,2,2,3,3,4,1430,7.0,7.2,0
0,1,2,1,0,3,4,1580,8.5,7.5,0
1,2,3,2,3,3,1,1170,6.5,3.5,0
0,1,8,2,3,3,1,1600,8.5,8.1,0
0,1,10,2,2,0,9,1570,7.5,4.5,0
0,1,4,1,3,3,3,1550,6.5,6.3,0
0,1,2,1,3,2,4,1560,5.0,6.5,0
2,1,9,2,0,3,3,1590,6.5,1.0,0
1,0,2,2,3,3,3,1570,8.5,6.8,0
1,1,2,0,3,3,0,1500,5.0,2.5,0
0,1,2,1,2,3,12,1570,4.0,7.5,0
0,1,7,2,2,3,3,1430,6.0,7.5,0
1,4,2,2,2,3,4,1330,8.5,6.5,0
0,1,2,2,3,3,5,1450,8.5,7.5,0
1,1,2,2,3,1,3,1580,8.5,2.5,0
1,3,2,1,3,3,0,1220,2.0,2.5,0
1,1,2,1,3,3,3,1500,6.5,8.2,2
0,1,2,3,3,3,0,1560,7.5,2.5,2
1,1,2,2,0,0,3,1400,1.0,3.5,2
1,1,2,2,3,3,3,1400,2.0,2.5,2
2,1,13,1,2,3,4,1430,5.0,6.5,2
2,1,13,1,2,3,4,1430,6.5,6.5,2
1,1,6,2,3,3,4,1540,7.5,7.5,2
1,1,2,2,0,3,3,1530,7.5,1.5,1
1,1,2,2,3,3,4,1570,4.5,3.7,1
1,1,2,2,3,3,4,1570,4.0,2.5,1
