Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
1,4,1,2,6,3,1,1540,7.5,7.3,0
0,1,1,2,0,3,4,1570,8.5,4.5,0
1,4,1,1,6,3,0,1470,6.5,7.5,0
0,4,1,1,0,4,1,1080,3.5,1.5,0
0,1,1,1,5,3,3,1560,6.5,2.5,0
1,1,1,2,6,0,5,1460,6.5,4.2,0
0,1,1,2,0,3,0,1530,1.0,2.5,0
1,1,1,2,6,4,4,1100,5.0,7.2,0
1,1,1,1,6,3,4,1440,7.5,4.5,0
1,4,1,2,6,3,4,1530,6.5,4.2,0
1,1,19,2,6,3,0,1550,7.5,4.5,0
1,1,1,2,0,3,4,1570,6.5,2.5,0
1,2,19,2,6,4,12,1470,6.5,2.5,0
1,4,10,2,0,3,4,1570,3.5,1.0,0
1,1,1,2,6,3,12,1560,7.5,6.5,0
0,1,1,2,6,0,4,1340,4.0,2.5,0
0,1,1,2,6,3,1,1460,4.5,6.5,0
0,1,1,1,6,3,5,1450,6.5,3.5,0
1,1,1,2,6,3,4,1520,7.5,6.8,0
0,1,17,2,5,0,13,1030,1.0,2.5,0
1,1,1,3,6,3,7,1470,6.5,7.5,0
1,1,1,3,6,3,5,1520,5.0,6.8,0
0,1,1,1,6,3,4,1300,3.5,7.2,0
1,1,1,1,6,3,4,1530,4.5,6.2,0
1,0,0,2,6,3,4,1420,5.5,2.5,0
1,1,8,1,6,0,4,1590,8.5,4.5,0
0,4,5,1,6,1,0,1300,6.5,2.5,0
1,1,1,2,6,3,5,1460,1.0,4.2,0
0,1,1,2,6,1,12,1540,6.5,6.5,0
0,4,1,2,6,3,4,1540,6.5,6.2,0
1,1,1,1,6,3,4,1500,6.5,7.8,0
4,1,13,2,6,3,4,1480,6.5,7.5,0
0,4,12,1,6,2,0,1470,4.5,4.2,0
2,4,3,0,6,1,4,1470,6.5,4.5,0
1,1,1,2,5,3,2,1530,3.5,4.8,0
