Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
0,2,1,2,0,3,3,1570,8.5,4.5,0
0,2,1,2,4,1,7,1490,7.5,4.5,0
4,5,13,2,3,3,3,1600,6.5,4.5,0
1,5,1,2,4,3,3,1530,6.5,4.2,0
1,2,1,2,0,3,3,1570,6.5,2.5,0
1,3,14,2,4,4,10,1470,6.5,2.5,0
0,5,1,2,4,3,4,1350,5.5,2.5,0
0,2,1,1,4,3,3,1560,6.5,4.7,0
0,2,1,2,4,0,3,1340,4.0,2.5,0
1,2,1,2,4,3,3,1520,7.5,6.8,0
0,3,11,1,4,4,3,1550,4.5,4.5,0
1,2,1,3,4,3,6,1470,6.5,7.5,0
1,2,1,3,4,3,4,1520,5.0,6.8,0
1,5,1,1,4,4,8,1470,1.0,2.5,0
0,5,2,1,4,3,2,1120,6.5,1.5,0
1,5,9,1,3,3,4,1320,5.0,8.2,0
1,1,5,3,3,3,3,1320,7.5,2.5,0
1,2,0,1,4,3,8,1510,3.0,2.5,0
0,2,1,2,4,1,10,1540,6.5,6.5,0
0,5,1,2,4,3,3,1540,6.5,6.2,0
4,2,12,2,4,3,3,1480,6.5,7.5,0
1,5,17,2,4,3,5,1380,5.5,4.5,0
2,5,1,2,4,3,4,1560,6.5,3.7,0
0,2,1,2,3,4,4,1510,8.5,6.5,0
0,5,11,1,4,2,0,1470,4.5,4.2,0
2,5,3,0,4,1,3,1470,6.5,4.5,0
0,2,1,2,1,3,3,1540,5.5,3.5,0
0,2,1,1,4,3,3,1530,6.5,4.1,0
1,2,1,2,4,0,1,1550,6.5,8.0,0
1,2,0,1,4,1,4,1540,7.5,4.5,0
0,4,1,1,4,4,0,1450,6.5,8.3,0
1,5,1,0,4,3,3,1490,3.5,2.5,0
1,2,18,2,0,3,3,1570,7.5,6.5,0
0,5,11,2,0,3,5,1420,5.0,2.5,0
1,2,1,2,0,3,3,1500,7.5,6.5,0
1,2,1,2,3,3,3,1510,7.5,7.5,0
1,4,1,2,4,4,3,1470,7.5,6.5,0
1,2,1,2,0,3,4,1570,6.5,2.5,0
0,2,1,3,4,3,1,1560,7.5,3.7,0
0,5,1,2,0,3,3,1350,5.0,7.5,0
1,2,8,1,3,3,4,1540,8.5,7.5,0
1,2,1,2,4,3,3,1400,2.0,2.5,0
1,2,1,2,4,2,3,1560,3.5,4.5,0
0,5,10,1,4,3,1,1400,3.5,6.8,0
3,2,1,0,4,3,3,1520,6.5,8.2,0
1,2,1,2,4,3,3,1590,6.5,2.5,0
1,2,8,1,3,3,4,1540,8.5,7.5,0
1,2,1,1,3,3,3,1590,6.5,6.8,0
0,5,1,1,5,3,3,1510,7.5,2.5,0
0,5,1,0,3,3,3,1530,5.5,6.8,0
1,2,1,2,0,3,0,1570,6.5,3.5,0
1,2,1,2,4,0,3,1560,7.5,1.5,0
1,2,1,1,4,3,3,1490,7.5,7.8,0
0,0,2,2,3,3,6,1570,8.5,4.5,0
0,2,1,3,4,3,1,1560,5.5,2.5,0
1,2,8,2,2,3,3,1550,6.5,7.3,0
0,2,1,2,4,3,4,1530,6.5,6.5,0
0,2,1,1,4,3,4,1570,5.5,2.5,0
0,2,1,1,3,3,3,1550,6.5,4.5,0
1,2,1,2,0,3,4,1520,6.5,8.5,0
0,2,8,2,4,3,3,1530,5.5,7.5,0
1,2,16,2,3,3,3,1570,6.5,6.8,0
1,2,1,1,4,3,3,1470,4.0,7.5,0
1,0,1,2,4,3,3,1400,6.5,3.5,0
0,2,1,2,4,4,1,1010,5.5,2.5,0
1,2,1,0,3,3,3,1530,6.5,7.5,0
0,2,1,1,3,3,0,1370,8.5,6.8,0
1,2,1,0,4,3,4,1580,2.5,3.0,0
0,2,1,2,4,0,3,1530,6.5,8.2,0
0,2,1,1,4,3,8,1580,4.5,6.5,0
1,2,1,1,4,3,0,1450,2.5,4.5,0
1,0,1,2,4,3,3,1570,8.5,6.5,0
1,0,1,2,4,3,3,1570,8.5,6.8,0
1,2,1,2,0,3,3,1560,7.5,4.2,0
1,0,0,1,4,3,3,1530,7.5,2.5,0
1,2,1,0,4,3,1,1500,5.0,2.5,0
0,2,1,1,3,3,12,1570,4.0,7.5,0
1,2,1,2,0,3,3,1560,7.5,4.5,0
3,2,1,2,4,1,3,1530,6.0,4.3,0
0,2,1,2,4,3,5,1450,8.5,7.5,0
1,2,1,2,4,3,3,1550,4.5,2.5,0
0,5,15,2,4,1,9,1410,5.0,6.2,0
1,2,1,2,4,1,3,1580,8.5,2.5,0
0,2,1,1,4,3,3,1550,6.5,4.7,0
1,2,7,2,0,3,11,1470,6.5,3.5,2
1,2,1,1,4,3,3,1440,7.5,4.5,2
1,3,14,2,4,4,10,1470,6.5,2.5,2
1,2,11,2,4,1,3,1310,4.5,4.5,2
1,2,8,1,3,3,4,1480,6.0,2.5,2
1,5,1,2,4,3,3,1290,4.0,2.5,2
0,2,1,2,0,1,2,1500,1.0,0.5,2
1,2,8,1,3,3,4,1540,8.5,7.5,2
0,2,1,3,4,0,3,1530,6.5,2.5,2
2,2,19,1,3,3,4,1430,5.0,6.5,2
2,2,19,1,3,3,4,1430,6.5,6.5,2
0,2,1,1,4,1,0,1410,5.5,2.5,2
1,5,1,2,3,3,4,1330,8.5,6.5,2
1,5,1,2,4,3,3,1460,3.5,2.5,1
0,5,1,1,4,3,3,1500,5.5,4.5,1
0,2,1,1,4,3,3,1570,6.5,4.5,1
0,5,6,2,4,3,10,1200,6.5,7.5,1
1,2,1,2,4,3,4,1510,5.0,3.5,1
1,5,1,1,4,3,3,1440,1.0,4.5,1
1,2,1,2,0,0,3,1400,1.0,3.5,1
1,2,1,1,4,0,3,1390,4.0,4.5,1
1,4,11,2,3,0,3,1460,6.5,3.7,1
1,5,1,2,0,3,3,1530,6.5,1.0,1
1,2,1,2,5,1,2,1350,2.5,2.5,1
0,2,1,3,4,3,1,1560,6.5,2.5,1
0,2,4,1,4,3,3,1550,6.5,6.3,1
1,2,1,2,4,0,0,1490,6.5,6.8,1
1,2,1,2,4,3,4,1570,4.5,3.7,1
1,2,1,2,4,3,4,1570,4.0,2.5,1
