Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,0
F,WHITE,CA,High,-1,URM,BIO,1080,3.5,1.5,0
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,0
F,ASIAN,CA,Low,-1,NONE,-1,1530,1.0,2.5,0
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,0
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,0
M,WHITE,CA,High,PUBLIC,NONE,BUSINESS,1520,6.5,6.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
M,ASIAN,IN,High,PRIVATE,NONE,POLISCI,1580,6.5,5.5,0
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,0
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,0
F,ASIAN,OR,Low,PRIVATE,FIRST-GEN,PSYCH,1030,1.0,2.5,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,0
M,ASIAN,UT,High,PUBLIC,NONE,POLISCI,1310,7.5,6.5,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,0
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,0
