Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,0
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,0
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,0
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,0
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,0
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,0
M,WHITE,MA,Low,-1,NONE,CS,1570,3.5,1.0,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,0
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,0
M,ASIAN,MA,Low,-1,NONE,ENG,1430,6.5,1.0,0
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,0
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,0
M,WHITE,CA,High,PUBLIC,NONE,CS,1600,5.5,6.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,0
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,0
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,0
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,0
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,0
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,0
F,ASIAN,CA,Low,-1,NONE,CS,1530,6.5,3.75,0
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,0
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,0
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,0
F,ASIAN,IL,High,PUBLIC,NONE,ENG,1560,6.5,3.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,0
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,0
M,NATIVE,MA,Low,PRIVATE,NONE,CS,1240,5.0,7.8,0
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,0
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,0
F,ASIAN,UT,Middle,INTERNATIONAL,NONE,CS,1590,6.5,4.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,0
F,WHITE,IL,High,PUBLIC,NONE,ENG,1570,7.0,6.8,0
M,ASIAN,UT,Low,-1,NONE,CS,1560,8.5,6.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,0
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,0
M,ASIAN,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.1,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,0
M,WHITE,IN,Low,PRIVATE,NONE,-1,1560,6.5,3.5,0
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,0
M,WHITE,CA,Low,-1,NONE,ENG,1550,6.5,1.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,6.5,4.7,0
M,ASIAN,PA,Low,PRIVATE,LEGACY,ENG,1580,5.5,4.7,0
M,ASIAN,IL,High,PUBLIC,URM,POLISCI,1380,5.0,4.5,0
M,ASIAN,IL,Low,PUBLIC,NONE,CS,1550,6.5,4.5,0
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,0
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,0
