Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,0
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,0
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,0
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,0
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5.0,7.0,0
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,0
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,0
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,0
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,0
M,WHITE,CA,High,PUBLIC,NONE,BUSINESS,1520,6.5,6.5,0
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,0
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,0
F,ASIAN,GA,High,PUBLIC,NONE,ENG,1570,1.0,4.5,0
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,0
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,0
F,WHITE,NY,Low,PUBLIC,NONE,BIO,1580,7.5,6.5,0
F,-1,TX,High,PUBLIC,FIRST-GEN,SOCIAL SCIENCES,1320,2.5,7.8,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,0
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1530,5.5,8.2,0
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,0
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,0
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,0
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,0
