Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,0
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,0
F,BLACK,FL,Low,PUBLIC,URM,BIO,1300,6.5,3.7,0
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,0
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,0
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,0
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,0
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,0
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,0
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,0
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,0
F,WHITE,-1,High,PUBLIC,LEGACY,POLISCI,1540,6.5,6.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,0
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,0
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,0
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,0
F,ASIAN,UT,High,PUBLIC,NONE,CS,1560,7.5,6.5,0
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,0
M,WHITE,CA,Low,-1,LEGACY,CS,1410,6.5,2.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
