Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,0
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,0
F,WHITE,MI,High,PUBLIC,NONE,BUSINESS,1190,1.0,4.5,0
F,HISPANIC,CA,High,PUBLIC,NONE,NEUROSCIENCE,1380,7.5,6.5,0
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,0
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,0
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,0
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,0
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1560,6.5,4.7,0
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,0
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,0
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,0
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,0
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,0
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,0
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,0
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,0
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,0
M,BLACK,IL,Low,PRIVATE,NONE,CS,1520,5.5,3.5,0
F,ASIAN,IA,High,PRIVATE,NONE,BIO,1590,8.5,6.8,0
M,ASIAN,MA,Low,PUBLIC,NONE,CS,1540,6.5,6.5,0
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,0
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1540,3.5,2.5,0
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,0
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,0
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,0
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1540,5.5,3.5,0
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,1540,2.5,4.5,0
F,NATIVE,WI,Low,-1,URM,-1,1420,6.5,2.5,0
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,0
F,ASIAN,CO,Low,PUBLIC,NONE,BIO,1530,6.5,4.5,0
F,ASIAN,USA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1480,3.0,4.5,0
M,WHITE,OR,Low,-1,NONE,CS,1560,2.5,4.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,ENG,1520,7.5,4.2,0
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,0
