Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,0
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3.0,2.5,0
M,WHITE,TX,Low,-1,NONE,LAW,1560,6.5,3.5,0
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,0
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,0
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,0
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,0
M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,0
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,0
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,0
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,0
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,0
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,0
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,0
F,-1,TX,High,PUBLIC,FIRST-GEN,SOCIAL SCIENCES,1320,2.5,7.8,0
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,0
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,0
M,HISPANIC,TX,Low,PUBLIC,URM,POLISCI,1530,7.5,7.2,0
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,0
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,1370,6.5,4.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1560,7.5,7.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1460,1.0,4.2,0
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,0
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,0
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,0
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,0
M,WHITE,-1,High,-1,NONE,ENG,1430,5.0,6.5,0
M,WHITE,TX,High,PUBLIC,NONE,CS,1590,6.5,3.5,0
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
