Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,0
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,0
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,0
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,0
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,0
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,0
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,0
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,7.3,0
F,ASIAN,UT,Low,PUBLIC,NONE,SOCIAL SCIENCES,1420,7.5,6.8,0
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,0
F,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1560,6.5,6.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,0
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,0
M,ASIAN,USA,Middle,PUBLIC,NONE,CS,1530,8.5,7.5,0
M,ASIAN,TX,Middle,-1,NONE,-1,1560,7.5,8.2,0
M,ASIAN,NV,High,PUBLIC,NONE,CS,1470,7.5,8.0,0
F,ASIAN,NE,High,PUBLIC,FIRST-GEN,UNDECIDED,1460,6.5,2.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1560,8.5,6.5,0
M,BLACK,TX,High,PRIVATE,URM,CS,1510,7.5,6.8,0
F,ASIAN,OR,Low,PRIVATE,NONE,CS,1500,6.5,4.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,0
M,ASIAN,TX,Low,-1,NONE,CS,1330,6.0,2.5,0
F,ASIAN,TX,Low,PUBLIC,NONE,MEDIA STUDIES,1460,6.5,4.5,0
M,ASIAN,TX,Low,-1,NONE,ENG,1470,5.0,4.5,0
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,0
M,ASIAN,TX,High,PUBLIC,NONE,CS,1490,5.5,4.2,0
M,ASIAN,MA,Low,-1,NONE,CS,1480,6.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,4.5,2.5,0
M,WHITE,WA,Low,PUBLIC,LEGACY,BUSINESS,1320,2.5,6.2,2
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,2
