Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,0
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,0
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,0
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,0
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
M,WHITE,MA,High,PUBLIC,NONE,-1,1450,7.5,6.5,0
M,WHITE,CA,High,PUBLIC,NONE,CS,1600,5.5,6.2,0
M,ASIAN,OR,Low,-1,NONE,ENG,1540,6.5,4.5,0
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,0
F,WHITE,NY,Low,PUBLIC,NONE,BIO,1580,7.5,6.5,0
M,WHITE,MA,Middle,PUBLIC,NONE,POLISCI,1590,6.5,6.7,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,0
M,HISPANIC,IN,Low,PUBLIC,URM,BIO,1510,6.5,4.5,0
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,0
M,WHITE,-1,High,PUBLIC,NONE,CS,1550,4.5,6.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1440,6.5,6.5,0
F,ASIAN,VA,High,PUBLIC,NONE,POLISCI,1510,6.5,6.2,0
M,WHITE,NY,High,PUBLIC,NONE,BIO,1570,3.5,4.7,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,0
M,WHITE,MI,Low,-1,LEGACY,BUSINESS,1300,5.0,7.5,0
F,WHITE,VA,High,PUBLIC,LEGACY,MEDIA STUDIES,1390,6.5,8.5,0
