Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5.0,7.0,0
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2.0,3.5,0
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2.0,3.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
F,ASIAN,IL,Low,PUBLIC,LEGACY,ENG,1590,5.5,2.5,0
M,WHITE,IN,High,PUBLIC,NONE,ENG,1570,7.5,3.5,0
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,0
M,ASIAN,IL,High,PUBLIC,FIRST-GEN,CS,1590,8.5,4.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1470,6.5,4.5,0
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,0
F,WHITE,IL,Low,PUBLIC,NONE,BIO,1430,3.5,7.3,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,0
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,0
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,0
M,ASIAN,CA,Low,-1,LEGACY,CS,1500,3.0,4.5,0
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,0
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,0
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1550,6.5,2.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,6.0,6.5,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,1430,4.5,6.8,0
M,ASIAN,FL,High,PUBLIC,NONE,CS,1500,6.5,4.2,0
M,ASIAN,-1,Middle,PUBLIC,NONE,POLISCI,1520,7.5,6.5,0
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,0
M,ASIAN,UT,Low,PRIVATE,NONE,CS,1510,7.5,8.2,0
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1510,7.5,1.0,0
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1530,5.5,7.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,POLISCI,1550,7.0,7.5,0
M,WHITE,IL,Low,PRIVATE,NONE,CS,1460,4.5,8.6,0
M,ASIAN,TX,Low,-1,NONE,CS,1450,6.5,1.5,0
NB,ASIAN,MA,Low,PUBLIC,URM,MEDIA STUDIES,1500,6.5,6.5,0
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1600,7.5,6.5,0
M,WHITE,IL,Low,-1,NONE,CS,1530,5.5,1.0,0
M,WHITE,IL,Low,-1,NONE,CS,1530,5.5,1.0,0
F,ASIAN,CA,Low,-1,NONE,CS,1500,6.5,6.5,0
NB,ASIAN,NY,Low,-1,NONE,HISTORY,1580,6.0,2.3,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1540,7.5,7.5,0
F,ASIAN,IN,Low,PUBLIC,NONE,-1,1540,5.5,1.0,0
