Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,0
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,0
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,0
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
F,WHITE,AL,-1,PRIVATE,LEGACY,POLISCI,1560,2.5,6.5,0
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,0
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1340,4.0,2.5,0
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,0
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,0
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,0
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,0
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,0
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,0
F,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1400,5.5,1.0,0
M,WHITE,CA,High,PUBLIC,NONE,EDUCATION,1570,2.0,4.2,0
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,0
M,WHITE,CO,-1,PUBLIC,NONE,CHEMISTRY,1540,7.5,7.5,0
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,0
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1550,5.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,0
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,0
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
M,ASIAN,GA,Low,-1,NONE,BIO,1560,8.5,7.5,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1500,8.5,8.5,0
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,0
F,ASIAN,FL,Low,PUBLIC,NONE,ENG,1560,6.5,6.3,0
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,0
F,WHITE,FL,Low,PUBLIC,NONE,CS,1560,1.0,4.7,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,MATH,1570,8.5,7.8,0
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,0
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,0
M,ASIAN,IN,Low,-1,NONE,CS,1600,8.5,0.0,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,0
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,5.5,2.5,0
M,WHITE,CA,Middle,PUBLIC,LEGACY,CS,1550,8.5,6.5,0
M,ASIAN,WA,Low,-1,NONE,BUSINESS,1390,6.5,7.9,0
M,ASIAN,CA,-1,PRIVATE,NONE,CS,1530,6.5,7.5,0
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
F,ASIAN,OR,High,-1,FIRST-GEN,CS,1600,7.5,8.5,0
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,0
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,0
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1580,4.5,7.8,0
M,ASIAN,IA,Low,-1,NONE,ENG,1560,7.5,0.0,0
M,ASIAN,CA,Low,-1,NONE,LAW,1560,5.5,7.5,0
M,WHITE,-1,Low,-1,LEGACY,CS,1500,4.5,3.7,0
M,WHITE,UT,Middle,PUBLIC,NONE,BIO,1540,7.5,9.2,0
M,ASIAN,IL,Low,-1,NONE,PSYCH,1470,6.5,3.5,2
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,2
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,2
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,2
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,2
M,ASIAN,ID,High,PUBLIC,FIRST-GEN,CS,1430,5.5,2.5,2
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,2
F,WHITE,NY,High,-1,NONE,CS,1540,3.5,4.5,2
F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1550,7.5,6.5,2
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,2
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,2
M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,2
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,2
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,2
M,HISPANIC,CA,Low,PRIVATE,URM,CS,1320,4.5,4.5,2
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,2
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,2
M,ASIAN,OR,Low,-1,NONE,ENG,1540,6.5,4.5,2
