Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,0
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1400,5.0,4.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,0
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,0
M,WHITE,MA,High,PUBLIC,NONE,-1,1450,7.5,6.5,0
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,0
M,HISPANIC,IN,Low,PUBLIC,URM,BIO,1510,6.5,4.5,0
F,ASIAN,OR,High,PUBLIC,NONE,CS,1440,6.5,6.5,0
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,0
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,0
NB,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1320,5.5,8.5,0
F,ASIAN,PA,Low,PUBLIC,LEGACY,ENG,1550,7.5,4.5,0
M,WHITE,VA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1380,5.5,4.5,0
M,ASIAN,VA,Low,PUBLIC,NONE,CS,1540,6.5,4.5,0
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,0
M,ASIAN,MI,Low,PUBLIC,NONE,DESIGN,1520,6.5,7.5,0
F,WHITE,VA,High,PUBLIC,NONE,CS,1550,6.5,7.5,0
M,WHITE,CA,Low,-1,NONE,ENG,1550,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,0
M,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1410,1.0,4.5,0
F,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1210,5.0,2.5,0
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1370,7.5,2.5,0
F,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1270,5.0,6.5,0
M,BLACK,VA,Low,PUBLIC,NONE,CS,1500,2.0,6.5,0
M,-1,AL,High,PRIVATE,URM,CS,1580,7.5,4.7,0
F,BLACK,UT,High,PUBLIC,URM,PSYCH,1240,6.5,7.5,0
M,ASIAN,VA,Low,PUBLIC,FIRST-GEN,CS,1510,6.5,7.5,0
F,ASIAN,WA,Low,PUBLIC,NONE,CS,1350,6.5,7.5,0
