Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,0
F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,0
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,0
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,0
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,0
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,0
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,0
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,0
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,0
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,0
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,0
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,0
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,0
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,0
F,ASIAN,TX,Low,-1,FIRST-GEN,CS,1540,4.5,1.0,0
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,0
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,0
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,0
M,ASIAN,-1,Low,PUBLIC,NONE,ENG,1520,7.5,4.2,0
M,WHITE,-1,Low,-1,NONE,CS,1590,5.5,3.5,0
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,0
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,0
M,WHITE,WA,-1,PUBLIC,NONE,-1,1560,3.5,4.5,0
M,WHITE,NY,Low,PUBLIC,NONE,HISTORY,1600,7.5,8.7,0
M,ASIAN,CA,Low,-1,NONE,NEUROSCIENCE,1560,6.5,0.0,0
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,0
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,0
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,0
M,HISPANIC,CO,Low,PRIVATE,URM,BIO,1590,6.5,6.5,0
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,0
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,0
F,ASIAN,CO,Low,-1,NONE,BUSINESS,1540,6.5,1.0,0
M,ASIAN,TX,High,PUBLIC,LEGACY,CS,1490,6.5,6.5,0
M,ASIAN,-1,Middle,PUBLIC,NONE,POLISCI,1520,7.5,6.5,0
M,ASIAN,MI,Low,PUBLIC,NONE,MATH,1570,8.5,7.8,0
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1520,7.5,5.8,0
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1580,8.5,6.5,0
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1560,8.5,6.5,0
F,BLACK,GA,Low,PUBLIC,URM,LAW,1260,3.5,8.5,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1560,7.5,1.5,0
F,-1,CO,Low,PRIVATE,NONE,HISTORY,1570,8.5,4.5,0
M,ASIAN,CO,High,PRIVATE,NONE,PSYCH,1520,5.0,7.5,0
M,ASIAN,OH,Low,PUBLIC,LEGACY,-1,1540,6.5,2.5,0
F,BLACK,-1,Low,PUBLIC,NONE,ENG,1360,6.5,2.5,0
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,0
M,WHITE,MI,Low,-1,FIRST-GEN,CS,1550,6.5,5.5,0
M,WHITE,CO,Low,-1,NONE,-1,1530,5.0,3.5,0
M,HISPANIC,-1,High,PUBLIC,NONE,BUSINESS,1500,6.5,6.5,0
F,ASIAN,MI,Middle,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1550,3.5,5.2,0
F,ASIAN,OR,Low,-1,NONE,ENG,1500,5.5,6.8,0
M,ASIAN,NY,Low,-1,NONE,-1,1510,3.5,2.5,2
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1550,7.5,6.5,2
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,2
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,2
M,ASIAN,MA,Low,-1,NONE,ENG,1430,6.5,1.0,2
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,2
F,WHITE,FL,Low,PUBLIC,NONE,BIO,1480,5.5,2.5,2
M,HISPANIC,CA,Low,PRIVATE,URM,CS,1320,4.5,4.5,2
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,2
M,ASIAN,OR,Low,-1,NONE,ENG,1540,6.5,4.5,2
M,ASIAN,IN,Low,PUBLIC,NONE,-1,1400,6.5,2.5,2
M,ASIAN,CA,Low,PRIVATE,NONE,BIO,1550,6.5,2.5,2
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,2
F,ASIAN,NY,High,PRIVATE,NONE,POLISCI,1460,6.5,4.7,2
M,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,7.0,2
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,2
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,2
M,WHITE,WA,-1,PUBLIC,NONE,CS,1530,6.5,6.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,2
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,2
F,ASIAN,IN,Low,PUBLIC,NONE,ENG,1540,6.5,6.5,2
F,ASIAN,USA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1480,3.0,4.5,2
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1530,6.5,7.5,2
M,ASIAN,CO,Low,PUBLIC,NONE,ENG,1510,5.5,7.5,2
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1570,6.5,4.5,2
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,2
M,ASIAN,UT,Low,PUBLIC,FIRST-GEN,ENG,1500,2.5,4.5,2
M,WHITE,LA,High,PUBLIC,NONE,CS,1570,4.5,2.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,2
M,WHITE,OR,High,PUBLIC,NONE,BUSINESS,1510,7.0,7.2,2
M,WHITE,WA,High,PUBLIC,NONE,CS,1560,3.5,4.5,2
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,2
M,WHITE,CA,-1,PUBLIC,NONE,CS,1490,3.5,2.5,2
M,WHITE,MA,Low,PUBLIC,LEGACY,CS,1520,1.0,7.3,2
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,2
M,ASIAN,CA,Low,-1,NONE,CS,1500,7.5,6.5,2
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,2
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,2
M,ASIAN,OR,High,PUBLIC,NONE,CS,1550,6.5,1.5,2
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,2
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1550,6.5,2.5,2
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,2
M,WHITE,MA,High,PUBLIC,NONE,ENG,1540,6.5,6.5,2
F,ASIAN,MD,Low,-1,NONE,BUSINESS,1390,6.5,0.0,2
M,WHITE,WA,Low,PRIVATE,FIRST-GEN,POLISCI,1330,7.5,7.8,2
F,ASIAN,IL,-1,PRIVATE,NONE,MATH,1460,1.0,3.5,2
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,2
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,2
M,ASIAN,CO,Low,-1,FIRST-GEN,CS,1510,5.0,4.3,2
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1530,6.5,4.2,2
M,WHITE,IN,Low,PUBLIC,NONE,BIO,1540,7.5,7.5,2
M,ASIAN,MI,Low,-1,NONE,-1,1590,7.5,4.5,2
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,1430,4.5,6.8,2
M,ASIAN,UT,Low,-1,NONE,CHEMISTRY,1540,5.5,8.2,2
M,ASIAN,WI,Low,PRIVATE,NONE,BUSINESS,1490,6.5,3.5,2
M,WHITE,IN,Low,PUBLIC,NONE,BIO,1540,6.5,7.5,2
M,WHITE,NY,Low,PUBLIC,NONE,CS,1510,5.0,6.5,2
M,ASIAN,TX,High,PUBLIC,LEGACY,CS,1490,6.5,6.5,2
F,BLACK,OR,-1,PRIVATE,NONE,INTERNATIONAL RELATIONS,1380,6.5,6.8,2
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,2
M,BLACK,VA,Low,PUBLIC,NONE,CS,1500,2.0,6.5,2
F,ASIAN,WA,Low,PUBLIC,FIRST-GEN,CS,1490,4.5,2.5,2
M,ASIAN,IL,Middle,-1,NONE,CS,1510,6.5,2.5,2
F,ASIAN,GA,High,PUBLIC,NONE,CHEMISTRY,1590,7.5,4.5,2
F,ASIAN,CA,Low,PRIVATE,URM,BIO,1500,4.5,7.8,2
M,ARAB,FL,Low,PUBLIC,NONE,ENG,1520,6.5,3.5,2
M,ASIAN,IN,Low,INTERNATIONAL,NONE,CS,1550,6.5,7.3,2
NB,ASIAN,OR,-1,PUBLIC,LGBT,BIO,1380,5.0,4.7,2
M,ASIAN,-1,Low,PUBLIC,NONE,BIO,1530,6.5,7.5,2
M,ASIAN,CA,-1,PUBLIC,NONE,ENG,1550,5.0,6.5,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1580,8.5,4.5,2
NB,ASIAN,MA,Low,PUBLIC,URM,MEDIA STUDIES,1500,6.5,6.5,2
F,ASIAN,CA,Low,PUBLIC,NONE,PSYCH,1470,7.5,6.2,2
M,ASIAN,WA,Low,-1,NONE,BUSINESS,1390,6.5,7.9,2
M,ASIAN,TX,Low,-1,NONE,BIO,1560,7.5,0.0,2
F,WHITE,FL,Low,PRIVATE,NONE,ENG,1530,6.5,8.7,2
M,ASIAN,IN,High,INTERNATIONAL,NONE,POLISCI,1590,6.5,4.2,2
F,ASIAN,MI,Low,PUBLIC,NONE,BUSINESS,1600,8.5,8.1,2
M,WHITE,IL,Low,-1,NONE,CS,1530,5.5,1.0,2
M,WHITE,IL,Low,-1,NONE,CS,1530,5.5,1.0,2
F,ASIAN,UT,Middle,PUBLIC,NONE,CS,1560,7.0,4.5,2
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1540,7.5,7.5,2
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,8.5,7.5,2
M,BLACK,GA,High,PRIVATE,URM,SOCIAL SCIENCES,1380,2.0,3.5,2
M,WHITE,FL,Low,-1,FIRST-GEN,ENG,1550,8.5,1.0,2
M,WHITE,MI,High,PUBLIC,NONE,ENG,1510,5.5,6.8,2
M,ASIAN,-1,Low,PUBLIC,NONE,BIO,1580,6.5,4.5,2
F,ASIAN,MI,High,PUBLIC,NONE,CS,1590,5.5,3.7,2
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,8.5,7.5,2
M,ASIAN,FL,Low,LARGE,FIRST-GEN,DESIGN,1500,3.5,6.5,2
F,ASIAN,UT,Middle,PUBLIC,NONE,CS,1560,6.5,6.5,2
M,ASIAN,VA,Low,PRIVATE,NONE,MATH,1530,2.0,5.5,2
M,ASIAN,MA,Low,-1,NONE,CS,1480,6.5,4.5,2
M,BLACK,GA,High,PRIVATE,URM,SOCIAL SCIENCES,1380,3.0,2.5,2
M,ASIAN,CO,Low,-1,NONE,CS,1470,6.5,2.3,2
OTHER,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1530,6.0,4.3,2
F,ASIAN,CA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1450,8.5,7.5,2
F,WHITE,-1,Low,-1,NONE,SOCIAL SCIENCES,1540,7.5,6.8,2
M,ASIAN,WA,High,PUBLIC,NONE,BUSINESS,1510,6.5,5.5,2
M,WHITE,-1,Low,PUBLIC,URM,CS,1580,6.5,6.5,2
M,ASIAN,-1,High,PUBLIC,NONE,CS,1510,5.5,7.3,2
NB,WHITE,IN,Low,PUBLIC,NONE,BIO,1450,5.0,6.7,2
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,1
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,1
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,1
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,1
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,1
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,1
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,1
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,1
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,1
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,1
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,1
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,1
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,1
M,WHITE,WA,Low,-1,NONE,CS,1510,5.5,4.0,1
