Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,0
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,0
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,0
M,WHITE,FL,Low,PUBLIC,URM,BIO,1430,5.5,7.5,0
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,0
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,0
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,0
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,0
F,WHITE,CA,High,PUBLIC,NONE,POLISCI,1500,5.5,6.5,0
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,0
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,0
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,0
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,0
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,0
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,0
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,0
F,HISPANIC,FL,Low,PUBLIC,URM,CHEMISTRY,1380,3.5,3.5,0
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,0
M,WHITE,CO,High,PRIVATE,NONE,-1,1440,4.5,7.5,0
M,ASIAN,CA,High,PUBLIC,NONE,CS,1540,6.5,4.7,0
F,ASIAN,FL,Low,PRIVATE,NONE,PSYCH,1530,2.5,4.5,0
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,0
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,0
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,0
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,0
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,0
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,0
NB,ASIAN,CA,High,PUBLIC,URM,CS,1570,6.5,4.2,0
M,HISPANIC,NY,Low,-1,LEGACY,ENG,1310,7.5,4.5,0
M,WHITE,FL,High,PUBLIC,URM,CHEMISTRY,1520,5.5,7.5,0
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,0
M,ASIAN,TX,Low,-1,NONE,BIO,1560,7.5,0.0,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
F,ASIAN,-1,High,PUBLIC,NONE,CS,1550,4.5,7.5,0
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,0
NB,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1400,7.5,7.7,0
F,ASIAN,NY,High,-1,FIRST-GEN,CS,1410,7.5,4.5,0
M,HISPANIC,-1,High,PUBLIC,NONE,BUSINESS,1500,6.5,6.5,0
M,WHITE,AZ,High,CHARTER,LGBT,SOCIAL SCIENCES,1570,7.5,6.5,0
F,ASIAN,NY,Middle,PUBLIC,NONE,LAW,1540,7.5,7.5,0
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,2
F,WHITE,LA,Low,-1,LEGACY,BIO,1530,6.5,4.2,2
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,2
M,ASIAN,CA,High,PRIVATE,NONE,CS,1550,7.5,6.5,2
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,2
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,2
F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,2
F,WHITE,MI,Low,-1,NONE,CS,1580,3.5,1.0,2
F,ASIAN,NY,Low,PUBLIC,NONE,POLISCI,1500,6.5,4.2,2
M,WHITE,MI,Low,PUBLIC,NONE,CS,1520,6.5,7.2,2
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,2
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,2
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,2
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,2
F,ASIAN,TX,Low,-1,FIRST-GEN,CS,1540,4.5,1.0,2
F,ASIAN,OR,High,PRIVATE,NONE,CS,1540,7.5,7.5,2
M,WHITE,WA,Low,-1,NONE,CS,1510,5.5,4.0,2
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
F,ASIAN,UT,Low,PUBLIC,NONE,SOCIAL SCIENCES,1420,7.5,6.8,2
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,2
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,2
M,WHITE,MA,High,PRIVATE,NONE,PREMED,1530,6.5,4.7,2
M,WHITE,LA,High,PUBLIC,NONE,CS,1570,4.5,2.5,2
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.5,2
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,2
M,WHITE,WA,Low,PRIVATE,NONE,CS,1540,7.5,6.2,2
M,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BUSINESS,1520,7.5,9.2,2
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,2
M,WHITE,NY,Middle,PUBLIC,URM,POLISCI,1530,1.0,2.5,2
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,CS,1480,8.5,6.3,2
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,2
M,WHITE,LA,High,PUBLIC,NONE,CS,1430,4.5,4.5,2
M,ASIAN,OR,High,PUBLIC,NONE,CS,1550,6.5,1.5,2
M,WHITE,LA,Low,PRIVATE,LEGACY,INTERNATIONAL RELATIONS,1510,5.5,7.2,2
M,WHITE,WA,Low,PRIVATE,FIRST-GEN,POLISCI,1330,7.5,7.8,2
F,WHITE,INTERNATIONAL,-1,PRIVATE,NONE,CS,1500,-1.0,4.5,2
F,WHITE,INTERNATIONAL,-1,PRIVATE,NONE,CS,1500,-1.0,4.5,2
M,WHITE,CO,Low,-1,NONE,CS,1520,6.5,7.3,2
M,WHITE,LA,Low,PRIVATE,NONE,CS,1500,7.5,6.5,2
F,WHITE,MI,Low,PUBLIC,LEGACY,CS,1540,6.5,8.7,2
M,WHITE,MI,-1,PRIVATE,LEGACY,CS,1540,6.5,4.7,2
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,2
M,ASIAN,NV,Low,PRIVATE,LEGACY,CS,1480,3.5,8.2,2
F,ASIAN,CA,High,PUBLIC,NONE,CS,1540,7.0,6.5,2
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,2
F,ASIAN,NY,Low,PUBLIC,LEGACY,CS,1580,6.5,8.5,2
F,ASIAN,CO,-1,PUBLIC,NONE,CS,1430,6.0,7.5,2
NB,WHITE,NY,Middle,PUBLIC,LGBT,CS,1530,5.0,4.5,2
M,ASIAN,CO,Low,PUBLIC,FIRST-GEN,HUMANITIES,1510,2.5,6.5,2
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,2
M,WHITE,PA,High,PRIVATE,LEGACY,PSYCH,1580,6.5,7.8,2
M,WHITE,MI,High,PUBLIC,NONE,ENG,1510,5.5,6.8,2
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,2.5,2
M,ASIAN,-1,Low,PUBLIC,NONE,BIO,1580,6.5,4.5,2
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,2
F,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1500,6.5,4.2,2
M,ASIAN,AZ,Low,PUBLIC,NONE,POLISCI,1520,6.5,4.5,2
M,ASIAN,CA,Low,-1,NONE,LAW,1560,5.5,7.5,2
M,ASIAN,CA,High,PUBLIC,NONE,BUSINESS,1570,7.5,6.2,2
F,BLACK,VA,Low,PUBLIC,URM,ENG,1160,1.0,4.7,2
F,ASIAN,TX,High,LARGE,NONE,ENG,1540,6.5,4.2,2
F,ASIAN,MI,Low,-1,NONE,CS,1550,6.5,2.0,2
M,WHITE,IN,Low,PRIVATE,NONE,CS,1520,5.5,7.5,2
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,1
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,1
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,1
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,1
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,1
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,1
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,1
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,1
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,1
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,1
F,WHITE,NY,High,PUBLIC,LEGACY,ENG,1590,6.5,4.5,1
M,ASIAN,IN,Low,PUBLIC,NONE,-1,1400,6.5,2.5,1
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,1
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,1
F,ASIAN,NE,High,PUBLIC,LEGACY,ENVIRONMENTAL STUDIES,1470,5.0,8.1,1
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,1
M,WHITE,-1,High,-1,NONE,ENG,1430,5.0,6.5,1
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,1
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,1
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1510,5.0,6.5,1
F,ASIAN,CA,Low,CHARTER,NONE,CS,1540,5.5,3.5,1
M,WHITE,OR,Low,PUBLIC,NONE,-1,1520,2.5,6.8,1
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,1
M,ASIAN,MI,Low,-1,NONE,-1,1590,7.5,4.5,1
F,HISPANIC,IN,Low,-1,URM,CS,1560,7.5,7.5,1
M,WHITE,AL,Low,PUBLIC,FIRST-GEN,PUBLIC POLICY,1540,7.5,7.5,1
M,ASIAN,MI,High,PRIVATE,NONE,BUSINESS,1480,7.5,7.5,1
M,ASIAN,-1,-1,PRIVATE,NONE,ENVIRONMENTAL STUDIES,1570,8.5,7.5,1
M,WHITE,LA,Low,PUBLIC,NONE,-1,1450,1.0,3.5,1
F,ASIAN,-1,Low,PRIVATE,NONE,ENVIRONMENTAL STUDIES,1340,8.5,2.5,1
M,ASIAN,CA,Low,-1,NONE,-1,1590,6.5,7.5,1
M,BLACK,GA,Low,PUBLIC,URM,CS,1480,1.0,4.2,1
M,ASIAN,MI,Middle,PUBLIC,NONE,LAW,1550,5.5,7.3,1
F,ASIAN,LA,Low,PUBLIC,NONE,CS,1570,6.5,6.5,1
F,BLACK,FL,Low,-1,FIRST-GEN,CS,1480,3.5,5.7,1
M,WHITE,CO,High,PUBLIC,LEGACY,POLISCI,1510,2.0,6.2,1
