Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,Accepted
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1460,3.5,2.5,Accepted
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5.0,7.0,Accepted
M,ASIAN,AZ,High,PUBLIC,NONE,BUSINESS,1480,6.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,Accepted
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,Accepted
F,ASIAN,MA,Low,-1,FIRST-GEN,CS,1490,7.5,2.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,EDUCATION,1570,2.0,4.2,Accepted
F,WHITE,ID,Low,PUBLIC,NONE,POLISCI,1200,6.5,7.5,Accepted
M,ASIAN,MA,High,PUBLIC,NONE,PSYCH,1430,1.0,7.5,Accepted
F,ASIAN,IL,Low,-1,URM,ENG,1510,3.5,0.0,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,Accepted
M,ASIAN,IA,-1,-1,NONE,-1,1570,3.5,3.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1470,6.5,4.5,Accepted
M,ASIAN,CA,Low,-1,NONE,BUSINESS,1250,2.0,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,5.0,0.0,Accepted
F,ASIAN,AZ,Low,PUBLIC,NONE,-1,1390,6.5,4.5,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Accepted
F,WHITE,CA,High,PUBLIC,NONE,ENG,1560,6.5,2.5,Accepted
