Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Accepted
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,Accepted
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,Accepted
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,Accepted
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,Accepted
F,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,4.2,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,Accepted
M,WHITE,WA,-1,PUBLIC,NONE,CS,1530,6.5,6.5,Accepted
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1550,7.5,8.3,Accepted
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,Accepted
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,Accepted
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,Accepted
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.5,Accepted
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,Accepted
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,Accepted
F,ASIAN,IA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1500,7.5,4.2,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,ENG,1530,3.5,4.7,Accepted
M,ASIAN,-1,Low,INTERNATIONAL,NONE,POLISCI,1460,2.0,4.5,Accepted
F,WHITE,NE,Low,PUBLIC,NONE,HISTORY,1550,5.0,7.5,Accepted
F,WHITE,CO,Low,PUBLIC,NONE,MATH,1570,3.5,7.5,Accepted
F,HISPANIC,IN,Low,-1,URM,CS,1560,7.5,7.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1520,7.5,5.8,Accepted
M,WHITE,CO,-1,PUBLIC,NONE,CS,1530,4.0,4.5,Accepted
M,WHITE,MA,-1,PUBLIC,NONE,CS,1500,3.5,2.5,Accepted
M,WHITE,LA,Low,PUBLIC,NONE,-1,1450,1.0,3.5,Accepted
M,WHITE,FL,Low,-1,FIRST-GEN,ENG,1550,8.5,1.0,Accepted
M,WHITE,AZ,Low,-1,NONE,MATH,1520,3.5,9.5,Accepted
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,Accepted
M,WHITE,MI,Low,-1,FIRST-GEN,CS,1550,6.5,5.5,Accepted
M,HISPANIC,-1,High,PUBLIC,NONE,BUSINESS,1500,6.5,6.5,Accepted
M,ASIAN,ID,High,PUBLIC,FIRST-GEN,CS,1430,5.5,2.5,Rejected
M,ASIAN,AZ,High,PUBLIC,NONE,BUSINESS,1480,6.5,4.5,Rejected
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Rejected
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.8,Rejected
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,Rejected
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1560,7.5,4.5,Rejected
NB,WHITE,DC,-1,PUBLIC,LEGACY,CS,1470,6.5,4.5,Rejected
M,ASIAN,UT,Low,INTERNATIONAL,FIRST-GEN,CS,1410,3.5,7.5,Rejected
M,WHITE,WA,Low,PRIVATE,NONE,CS,1540,7.5,6.2,Rejected
M,WHITE,CA,Low,-1,URM,HISTORY,1580,5.5,8.5,Rejected
M,WHITE,NY,Low,PUBLIC,LEGACY,CS,1490,1.0,6.5,Rejected
M,ASIAN,CA,Low,-1,NONE,CS,1370,6.5,3.5,Rejected
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,Rejected
F,WHITE,CA,Low,-1,LEGACY,BUSINESS,1510,6.5,2.0,Rejected
F,WHITE,TX,Low,CHARTER,NONE,LAW,1340,5.0,6.5,Rejected
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,Rejected
M,WHITE,LA,High,PUBLIC,NONE,CS,1430,4.5,4.5,Rejected
