Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
M,HISPANIC,MA,High,PUBLIC,URM,ENG,1520,4.5,6.5,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,Accepted
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,Accepted
M,ASIAN,FL,High,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1440,6.5,3.7,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,Accepted
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
M,ASIAN,NY,High,PUBLIC,FIRST-GEN,ENG,1460,6.5,2.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.8,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,Accepted
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,Accepted
F,WHITE,NY,Low,PUBLIC,LEGACY,HISTORY,1330,3.5,6.5,Accepted
