Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,Accepted
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,Accepted
M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,4.2,Accepted
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
NB,WHITE,CA,High,PUBLIC,NONE,CS,1600,7.5,8.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1540,6.5,7.6,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,Accepted
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,Accepted
M,HISPANIC,FL,Low,PUBLIC,URM,CS,1590,7.5,2.5,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,CS,1550,6.5,1.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,8.5,3.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1590,6.0,6.5,Accepted
M,ASIAN,IN,Low,-1,NONE,CS,1600,8.5,0.0,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1570,5.5,2.5,Accepted
F,ASIAN,CA,High,-1,NONE,ENG,1580,8.5,7.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,Accepted
