Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,Accepted
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,Accepted
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,Accepted
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,Accepted
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,WHITE,MA,High,-1,NONE,CS,1490,4.5,7.0,Accepted
F,ASIAN,PA,High,PUBLIC,NONE,CS,1570,6.5,4.5,Accepted
M,BLACK,IL,Low,PRIVATE,NONE,CS,1520,5.5,3.5,Accepted
M,BLACK,UT,Low,PUBLIC,URM,BIO,1480,6.5,8.7,Accepted
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,Accepted
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,Accepted
M,HISPANIC,IN,Low,PUBLIC,URM,BIO,1510,6.5,4.5,Accepted
M,ASIAN,MA,High,PUBLIC,LEGACY,ENG,1570,6.5,4.5,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
F,BLACK,MI,Low,PUBLIC,URM,BIO,1420,5.5,4.7,Accepted
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,Accepted
F,ASIAN,IL,Low,-1,URM,ENG,1510,3.5,0.0,Accepted
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,Accepted
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1550,3.0,6.7,Accepted
F,WHITE,IL,Low,PUBLIC,NONE,BIO,1430,3.5,7.3,Accepted
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,Accepted
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,Accepted
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,Accepted
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1520,6.5,4.5,Accepted
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,Accepted
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,Accepted
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,Accepted
F,WHITE,OR,-1,PUBLIC,URM,ENG,1540,3.5,2.5,Accepted
F,WHITE,IL,High,PUBLIC,NONE,ENG,1570,7.0,6.8,Accepted
F,ASIAN,TX,Low,PUBLIC,LGBT,CS,1560,6.5,3.7,Accepted
M,ASIAN,USA,Low,PUBLIC,NONE,NEUROSCIENCE,1510,6.5,8.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,BUSINESS,1560,6.5,3.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,Accepted
M,WHITE,IN,Low,PRIVATE,NONE,-1,1560,6.5,3.5,Accepted
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,WHITE,CA,High,PRIVATE,LEGACY,-1,1510,6.5,7.5,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1540,7.5,4.5,Accepted
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,Accepted
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,Accepted
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,Accepted
M,ASIAN,TN,Low,PUBLIC,NONE,BUSINESS,1390,6.5,3.7,Accepted
F,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1270,5.0,6.5,Accepted
F,BLACK,NY,Low,PUBLIC,URM,PREMED,1430,5.0,4.2,Accepted
M,WHITE,MI,-1,PRIVATE,LEGACY,CS,1540,6.5,4.7,Accepted
M,ASIAN,MI,High,PUBLIC,NONE,BIO,1560,8.5,3.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1510,5.0,6.5,Accepted
M,ASIAN,OH,Low,PUBLIC,NONE,CS,1520,7.5,7.5,Accepted
F,BLACK,NY,Low,PRIVATE,URM,PSYCH,1490,6.5,6.8,Accepted
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1510,1.0,6.3,Accepted
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,Accepted
M,ASIAN,WA,Middle,INTERNATIONAL,NONE,ENG,1420,6.5,3.5,Accepted
M,HISPANIC,MI,Low,PRIVATE,FIRST-GEN,CS,1460,6.5,3.7,Accepted
F,ASIAN,PA,High,PRIVATE,NONE,PSYCH,1550,6.5,4.5,Accepted
F,WHITE,PA,Low,PRIVATE,URM,ENG,1510,4.5,1.5,Accepted
F,WHITE,OH,Low,PUBLIC,NONE,ENG,1420,5.5,6.5,Accepted
F,-1,CO,Low,PRIVATE,NONE,HISTORY,1570,8.5,4.5,Accepted
F,BLACK,GA,Low,PUBLIC,NONE,BIO,1550,5.5,7.8,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,7.5,Accepted
M,WHITE,CA,Middle,PUBLIC,LEGACY,CS,1550,8.5,6.5,Accepted
M,WHITE,IL,Low,-1,LEGACY,PSYCH,1510,3.5,6.5,Accepted
M,ASIAN,CA,Low,-1,FIRST-GEN,ENG,1550,2.5,4.5,Accepted
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,Accepted
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,Accepted
OTHER,ASIAN,TX,Low,PUBLIC,NONE,ENG,1560,5.0,2.5,Accepted
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,1510,1.0,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1560,5.0,6.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1480,3.5,2.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.2,Accepted
M,ASIAN,NY,High,-1,NONE,ENG,1540,4.0,4.5,Accepted
M,BLACK,GA,Low,PUBLIC,URM,CS,1480,1.0,4.2,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,6.5,7.5,Accepted
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,Accepted
M,ASIAN,WI,Low,PRIVATE,NONE,-1,1500,8.5,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
F,-1,FL,Low,-1,NONE,BIO,1440,6.5,7.5,Accepted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,4.5,2.5,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,BUSINESS,1550,6.5,6.8,Accepted
F,ASIAN,MI,Middle,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1550,3.5,5.2,Accepted
F,ASIAN,OR,Low,-1,NONE,ENG,1500,5.5,6.8,Accepted
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1510,5.5,7.3,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,Accepted
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Rejected
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,Rejected
M,WHITE,CO,Low,-1,NONE,CHEMISTRY,1560,7.5,2.5,Rejected
M,ASIAN,MA,High,PUBLIC,NONE,PSYCH,1430,1.0,7.5,Rejected
M,WHITE,WA,Low,-1,NONE,CS,1510,5.5,4.0,Rejected
F,ASIAN,MA,High,PRIVATE,NONE,BIO,1550,5.5,7.6,Rejected
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,HEALTH SCIENCES,1520,6.0,4.5,Rejected
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,Rejected
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,Rejected
F,ASIAN,MD,Low,PUBLIC,NONE,ENG,1570,7.5,6.5,Rejected
M,ASIAN,UT,Low,PUBLIC,FIRST-GEN,ENG,1500,2.5,4.5,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1480,6.0,2.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,CS,1530,6.5,4.1,Rejected
M,WHITE,WA,High,PUBLIC,NONE,CS,1560,3.5,4.5,Rejected
M,WHITE,MA,Low,PUBLIC,LEGACY,CS,1520,1.0,7.3,Rejected
M,WHITE,MA,High,PUBLIC,NONE,ENG,1540,6.5,6.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1500,2.5,4.5,Rejected
M,HISPANIC,LA,Low,PRIVATE,NONE,ENG,1540,6.5,6.5,Rejected
M,ASIAN,CA,Low,-1,NONE,ENG,1570,6.5,2.5,Rejected
F,WHITE,PA,Low,PRIVATE,URM,BIO,1410,6.5,3.7,Rejected
M,ASIAN,IL,Middle,-1,NONE,CS,1510,6.5,2.5,Rejected
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,Rejected
M,-1,CA,Low,PUBLIC,NONE,CS,1400,6.5,3.5,Rejected
M,ASIAN,PA,Low,PRIVATE,NONE,-1,1480,-1.0,7.8,Rejected
M,ASIAN,IN,High,INTERNATIONAL,NONE,POLISCI,1590,6.5,4.2,Rejected
M,BLACK,NY,Low,-1,URM,BIO,1450,7.5,7.8,Rejected
