Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,Accepted
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
M,ASIAN,MI,Middle,PUBLIC,NONE,LAW,1550,5.5,7.3,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,Rejected
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,Rejected
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,Rejected
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
NB,WHITE,NY,High,PUBLIC,LEGACY,-1,1430,1.5,2.5,Rejected
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Rejected
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1510,5.0,6.5,Rejected
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,Rejected
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,Rejected
F,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1380,3.5,5.0,Rejected
M,WHITE,-1,Low,PRIVATE,NONE,CS,1530,4.0,3.5,Rejected
M,WHITE,NC,Low,PRIVATE,NONE,BUSINESS,1450,6.5,3.5,Rejected
M,WHITE,NY,Low,PUBLIC,NONE,CS,1480,2.5,7.2,Rejected
F,ASIAN,IL,-1,INTERNATIONAL,NONE,CS,1460,5.0,2.5,Rejected
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,5.0,6.5,Rejected
NB,ASIAN,WI,High,PRIVATE,NONE,ENG,1430,6.5,6.5,Rejected
M,WHITE,CO,Low,PRIVATE,LEGACY,-1,1570,6.5,8.7,Rejected
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Waitlisted
NB,WHITE,MA,Middle,-1,NONE,POLISCI,1500,3.5,1.5,Waitlisted
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,Waitlisted
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,Waitlisted
M,WHITE,MA,Low,PUBLIC,LEGACY,PSYCH,1530,6.5,4.5,Waitlisted
M,WHITE,UT,High,PRIVATE,URM,CS,1510,6.5,6.8,Waitlisted
F,ASIAN,WA,Low,PUBLIC,FIRST-GEN,CS,1490,4.5,2.5,Waitlisted
M,WHITE,NY,High,PUBLIC,NONE,HISTORY,1440,6.5,4.5,Waitlisted
M,WHITE,CO,High,PUBLIC,LEGACY,POLISCI,1510,2.0,6.2,Waitlisted
