Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,Accepted
F,WHITE,NY,High,PUBLIC,LEGACY,ENG,1590,6.5,4.5,Accepted
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,Accepted
F,WHITE,NY,Low,PRIVATE,NONE,-1,1320,6.5,9.5,Accepted
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,Accepted
F,WHITE,MI,High,PUBLIC,LGBT,-1,1470,4.5,4.2,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CHEMISTRY,1380,3.5,3.5,Accepted
F,ASIAN,IA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1500,7.5,4.2,Accepted
M,WHITE,NY,Middle,PUBLIC,URM,POLISCI,1530,1.0,2.5,Accepted
M,ASIAN,IN,High,-1,NONE,-1,1490,7.5,7.5,Accepted
M,WHITE,LA,High,PUBLIC,NONE,CS,1430,4.5,4.5,Accepted
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,Accepted
M,WHITE,LA,Low,PRIVATE,NONE,CS,1500,7.5,6.5,Accepted
F,WHITE,MI,Low,-1,NONE,NEUROSCIENCE,1500,3.5,7.5,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,Accepted
M,ASIAN,NV,Low,PRIVATE,LEGACY,CS,1480,3.5,8.2,Accepted
OTHER,-1,NY,Low,PRIVATE,NONE,-1,1560,2.0,0.0,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,Rejected
M,-1,MO,Low,PRIVATE,NONE,ENG,1440,7.5,5.5,Rejected
M,BLACK,IN,High,PUBLIC,NONE,-1,1470,4.5,7.5,Rejected
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,Rejected
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,1360,6.5,6.5,Rejected
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,Rejected
NB,WHITE,IN,Low,PUBLIC,NONE,SOCIAL SCIENCES,1460,6.5,7.2,Rejected
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,HEALTH SCIENCES,1520,6.0,4.5,Rejected
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,Rejected
F,WHITE,USA,Middle,PUBLIC,NONE,CS,1590,9.5,8.5,Rejected
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,Rejected
M,WHITE,WA,Low,PRIVATE,NONE,CS,1540,7.5,6.2,Rejected
M,WHITE,WI,Low,PUBLIC,NONE,CS,1520,7.5,0.0,Rejected
F,WHITE,FL,Low,PUBLIC,FIRST-GEN,ENG,1430,7.0,4.5,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
F,WHITE,FL,Low,PUBLIC,NONE,CS,1560,1.0,4.7,Rejected
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,CS,1540,7.0,6.5,Rejected
M,ASIAN,IL,Middle,-1,NONE,CS,1510,6.5,2.5,Rejected
F,WHITE,IN,Low,PUBLIC,FIRST-GEN,-1,1350,5.5,7.5,Rejected
M,ASIAN,AZ,Low,PUBLIC,NONE,POLISCI,1520,6.5,4.5,Rejected
F,ASIAN,IN,-1,PUBLIC,NONE,ENG,1550,8.5,0.0,Rejected
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,Rejected
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Waitlisted
F,WHITE,NY,High,-1,NONE,CS,1540,3.5,4.5,Waitlisted
F,WHITE,-1,High,-1,NONE,-1,1290,5.0,5.5,Waitlisted
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,Waitlisted
M,WHITE,MA,High,PRIVATE,NONE,PREMED,1530,6.5,4.7,Waitlisted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,Waitlisted
M,WHITE,CO,Low,-1,NONE,CS,1520,6.5,7.3,Waitlisted
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,Waitlisted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Waitlisted
