Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3.0,2.5,Accepted
M,WHITE,TX,Low,-1,NONE,LAW,1560,6.5,3.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Accepted
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,WHITE,-1,Low,PUBLIC,URM,CS,1460,6.5,3.5,Accepted
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,Accepted
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,Accepted
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,Accepted
M,WHITE,MA,Middle,PUBLIC,NONE,POLISCI,1590,6.5,6.7,Accepted
F,ASIAN,IA,High,PRIVATE,NONE,BIO,1590,8.5,6.8,Accepted
F,WHITE,NY,Low,PUBLIC,NONE,LAW,1450,6.5,3.7,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1500,5.0,6.5,Accepted
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,Accepted
M,WHITE,CA,Low,-1,NONE,-1,1580,5.5,6.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,Accepted
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,Accepted
M,WHITE,WA,High,PRIVATE,NONE,POLISCI,1480,5.0,6.5,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
OTHER,WHITE,FL,Low,CHARTER,URM,-1,1530,7.5,4.5,Accepted
M,ASIAN,NY,Low,-1,NONE,ENG,1560,7.5,1.0,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,Accepted
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,Accepted
NB,WHITE,NY,High,PUBLIC,LEGACY,-1,1430,1.5,2.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,WHITE,GA,High,PUBLIC,LGBT,MEDIA STUDIES,1200,3.5,2.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
