Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
M,ASIAN,MI,High,PUBLIC,NONE,-1,1530,7.5,4.5,Accepted
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,Accepted
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,Accepted
M,HISPANIC,IL,-1,PUBLIC,FIRST-GEN,ENG,1390,8.5,2.5,Accepted
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,Accepted
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,Accepted
F,WHITE,NY,High,-1,NONE,CS,1540,3.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,Accepted
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,Accepted
F,WHITE,FL,Low,PUBLIC,NONE,BIO,1480,5.5,2.5,Accepted
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
F,ASIAN,NY,Low,PUBLIC,NONE,POLISCI,1500,6.5,4.2,Accepted
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,Accepted
F,WHITE,NY,High,PUBLIC,LEGACY,ENG,1590,6.5,4.5,Accepted
M,WHITE,TX,Middle,PUBLIC,NONE,CS,1500,1.0,7.5,Accepted
M,WHITE,IN,High,PUBLIC,NONE,ENG,1570,7.5,3.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,Accepted
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,Accepted
M,ASIAN,MA,High,PUBLIC,LEGACY,ENG,1570,6.5,4.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
T,ARAB,MA,High,-1,URM,CS,1490,3.5,2.5,Accepted
M,ASIAN,MA,High,PUBLIC,NONE,PSYCH,1430,1.0,7.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,1360,6.5,6.5,Accepted
F,ASIAN,IL,Low,PUBLIC,NONE,BIO,1440,5.5,6.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,Accepted
