Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,Accepted
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Accepted
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,POLISCI,1580,6.5,5.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,Accepted
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,Accepted
M,ASIAN,UT,High,PUBLIC,NONE,POLISCI,1310,7.5,6.5,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,CS,1540,8.5,4.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1550,8.5,1.0,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,ASIAN,INTERNATIONAL,Low,PRIVATE,NONE,SOCIAL SCIENCES,1400,5.5,3.8,Accepted
M,ASIAN,GA,Low,PUBLIC,LEGACY,ENG,1570,6.5,6.5,Accepted
M,ASIAN,GA,Low,-1,LGBT,CS,1510,8.5,2.5,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,ENG,1550,4.0,2.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,ASIAN,IN,High,PUBLIC,NONE,ENG,1590,6.5,7.8,Accepted
F,BLACK,CA,Low,PRIVATE,URM,BUSINESS,1480,10.0,3.5,Accepted
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,Accepted
M,WHITE,-1,Low,-1,NONE,CS,1590,5.5,3.5,Accepted
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,Accepted
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
