Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,MA,Low,-1,NONE,PSYCH,1430,2.0,8.0,Accepted
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
F,HISPANIC,TX,Low,PUBLIC,URM,-1,1430,3.5,6.5,Accepted
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,Accepted
M,WHITE,LA,High,-1,LEGACY,CS,1580,7.5,7.5,Accepted
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Accepted
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,AZ,Low,CHARTER,NONE,CS,1600,8.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,ASIAN,TX,Low,PUBLIC,FIRST-GEN,BIO,1370,6.5,4.5,Accepted
F,WHITE,CA,Low,-1,NONE,BIO,1510,7.0,5.0,Accepted
M,HISPANIC,TN,High,PUBLIC,NONE,PREMED,1480,6.5,6.8,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,HEALTH SCIENCES,1500,6.5,6.5,Accepted
F,WHITE,NY,Middle,PRIVATE,NONE,CS,1470,6.5,6.2,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,INTERNATIONAL RELATIONS,1570,6.5,6.5,Accepted
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,LEGACY,CS,1490,1.0,6.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,6.5,7.5,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,Accepted
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,Accepted
M,WHITE,FL,Low,-1,NONE,CS,1570,5.5,7.5,Accepted
M,WHITE,TX,High,PRIVATE,LEGACY,CS,1470,6.5,7.5,Accepted
NB,BLACK,IN,Low,PUBLIC,NONE,ENG,1120,5.5,6.5,Accepted
M,WHITE,LA,High,PRIVATE,NONE,NEUROSCIENCE,1570,6.0,4.7,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,1430,4.5,6.8,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,BUSINESS,1470,8.5,6.5,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,Accepted
