Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,Accepted
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,Accepted
F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,Accepted
F,WHITE,-1,Low,PUBLIC,FIRST-GEN,MEDIA STUDIES,1420,5.0,6.5,Accepted
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,Accepted
M,ASIAN,-1,High,PRIVATE,NONE,-1,1460,6.5,8.5,Accepted
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
F,WHITE,CA,High,PUBLIC,NONE,CS,1500,5.5,4.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,Accepted
F,WHITE,FL,Low,PUBLIC,URM,BUSINESS,1430,4.5,2.5,Accepted
F,ASIAN,MA,High,PUBLIC,NONE,POLISCI,1470,5.5,3.7,Accepted
F,ASIAN,OR,Low,PRIVATE,FIRST-GEN,PSYCH,1030,1.0,2.5,Accepted
F,ASIAN,NY,Low,PUBLIC,FIRST-GEN,POLISCI,1550,6.5,6.2,Accepted
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,Accepted
F,BLACK,CO,Low,SMALL,URM,CS,1310,6.5,7.5,Accepted
F,WHITE,NY,Low,PUBLIC,NONE,LAW,1450,6.5,3.7,Accepted
F,WHITE,-1,High,PRIVATE,LEGACY,CS,1560,6.5,4.2,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
M,WHITE,PA,Low,PUBLIC,FIRST-GEN,POLISCI,1450,3.5,2.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1540,2.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,URM,BUSINESS,1360,6.5,6.5,Accepted
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,Accepted
F,ASIAN,NY,Low,PUBLIC,NONE,PREMED,1520,6.5,6.5,Accepted
F,WHITE,GA,High,PUBLIC,LGBT,MEDIA STUDIES,1200,3.5,2.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1550,7.5,8.3,Accepted
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,Accepted
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,Accepted
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
F,ASIAN,UT,Low,PUBLIC,NONE,SOCIAL SCIENCES,1420,7.5,6.8,Accepted
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,Accepted
F,ASIAN,NY,Low,MAGNET,FIRST-GEN,POLISCI,1570,7.5,8.5,Accepted
F,WHITE,NY,High,PUBLIC,NONE,CS,1510,5.5,2.5,Accepted
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,Accepted
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,Accepted
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
M,WHITE,CA,Low,-1,URM,HISTORY,1580,5.5,8.5,Accepted
F,ASIAN,IA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1500,7.5,4.2,Accepted
M,WHITE,CO,High,PRIVATE,NONE,-1,1440,4.5,7.5,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,Accepted
M,WHITE,CA,High,PRIVATE,NONE,CS,1550,8.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
