Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,HISPANIC,CA,High,PUBLIC,NONE,NEUROSCIENCE,1380,7.5,6.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
M,HISPANIC,UT,High,-1,URM,BIO,1440,7.5,8.7,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,4.2,Accepted
M,WHITE,FL,Low,PUBLIC,URM,CS,1480,6.5,2.5,Accepted
F,WHITE,IN,Low,PRIVATE,NONE,CS,1470,7.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,Accepted
M,ASIAN,TX,Low,-1,NONE,BIO,1560,7.5,0.0,Accepted
M,ASIAN,MI,Middle,PUBLIC,NONE,CS,1550,7.5,6.5,Accepted
OTHER,-1,NY,Low,PRIVATE,NONE,-1,1560,2.0,0.0,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,ENG,1480,6.5,4.5,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,Rejected
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,Rejected
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,Rejected
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,Rejected
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Rejected
M,WHITE,TX,Low,PUBLIC,NONE,CS,1490,8.5,8.5,Rejected
M,WHITE,OR,Middle,PUBLIC,NONE,CS,1520,5.5,0.0,Rejected
M,WHITE,-1,Low,CHARTER,NONE,CS,1580,5.5,2.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,Rejected
M,WHITE,-1,High,PUBLIC,NONE,CS,1550,4.5,6.5,Rejected
M,ASIAN,MA,Low,-1,LEGACY,ENG,1520,6.5,1.0,Rejected
M,WHITE,WA,High,PUBLIC,NONE,CS,1560,3.5,4.5,Rejected
M,WHITE,CA,Low,PRIVATE,LEGACY,CS,1580,7.5,8.2,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1570,6.5,6.5,Rejected
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,Rejected
M,ASIAN,MI,Low,PRIVATE,NONE,CS,1530,8.5,4.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1440,6.5,6.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1490,7.5,7.8,Rejected
F,ASIAN,CA,Low,PUBLIC,NONE,ENG,1530,6.5,6.5,Rejected
M,WHITE,CA,Low,-1,NONE,CS,1530,6.5,1.0,Rejected
F,ASIAN,TX,Low,PUBLIC,NONE,-1,1390,7.5,2.5,Rejected
OTHER,ASIAN,TX,Low,PUBLIC,NONE,ENG,1560,5.0,2.5,Rejected
M,WHITE,TX,High,PUBLIC,LEGACY,-1,1570,6.5,7.5,Rejected
M,WHITE,NC,Low,PRIVATE,NONE,ENG,1440,4.5,2.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1530,6.5,6.2,Rejected
F,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1560,6.0,4.5,Rejected
F,WHITE,UT,High,-1,NONE,CS,1600,8.5,4.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,3.0,3.5,Rejected
M,ASIAN,MD,Low,PUBLIC,NONE,CS,1540,6.5,4.5,Rejected
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,Waitlisted
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Waitlisted
F,-1,CA,High,-1,NONE,MATH,1560,6.5,8.5,Waitlisted
T,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,4.5,Waitlisted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,Waitlisted
F,ASIAN,OR,High,PUBLIC,NONE,CS,1570,5.5,4.7,Waitlisted
F,WHITE,VA,High,PUBLIC,NONE,CS,1550,6.5,7.5,Waitlisted
NB,ASIAN,OR,High,CHARTER,NONE,CS,1540,2.5,4.5,Waitlisted
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1500,7.5,7.2,Waitlisted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1570,5.5,2.5,Waitlisted
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.5,Waitlisted
M,-1,CA,Low,PUBLIC,NONE,CS,1570,8.5,6.8,Waitlisted
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,Waitlisted
