Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,Accepted
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,Accepted
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,Accepted
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,Accepted
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
F,BLACK,MI,Low,-1,URM,-1,1510,7.5,0.0,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1490,6.5,7.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,LAW,1310,6.5,8.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1540,5.5,8.7,Accepted
M,BLACK,NY,Low,PRIVATE,NONE,BIO,1410,3.5,2.5,Accepted
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,Accepted
F,WHITE,CO,-1,PRIVATE,LEGACY,ENG,1530,6.5,6.5,Accepted
M,WHITE,WA,-1,PUBLIC,NONE,-1,1560,3.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,HISTORY,1600,7.5,8.7,Accepted
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,Accepted
F,BLACK,TX,Middle,PUBLIC,URM,-1,1470,7.5,2.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,Accepted
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,Accepted
M,WHITE,CA,Low,PRIVATE,NONE,CS,1550,7.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,Accepted
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,Accepted
F,HISPANIC,OR,High,PUBLIC,URM,HEALTH SCIENCES,1420,6.5,8.5,Accepted
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,Accepted
M,HISPANIC,TX,Low,-1,FIRST-GEN,CS,1320,2.0,7.2,Accepted
F,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.3,Accepted
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,Accepted
T,ASIAN,GA,Low,PUBLIC,LGBT,ENG,1570,6.5,7.5,Accepted
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,Accepted
F,ASIAN,CA,High,-1,NONE,PREMED,1540,2.5,7.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1530,3.5,6.5,Accepted
M,BLACK,NY,Low,PUBLIC,NONE,CS,1560,8.5,2.5,Accepted
M,HISPANIC,TX,Low,-1,FIRST-GEN,-1,1320,2.0,6.5,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Accepted
M,ASIAN,-1,High,PRIVATE,NONE,CS,1560,5.5,6.5,Accepted
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,Accepted
F,-1,-1,Low,PUBLIC,NONE,CS,1570,7.5,8.1,Accepted
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,Rejected
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,Rejected
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,Rejected
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,Rejected
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Rejected
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,Rejected
F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,Rejected
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,Rejected
M,WHITE,MA,High,PUBLIC,NONE,-1,1450,7.5,6.5,Rejected
M,ASIAN,FL,High,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1440,6.5,3.7,Rejected
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,Rejected
M,ASIAN,CA,Low,PUBLIC,LGBT,ENG,1550,5.5,3.7,Rejected
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Rejected
M,ASIAN,IN,Low,PUBLIC,NONE,-1,1400,6.5,2.5,Rejected
M,ASIAN,PA,Low,PUBLIC,NONE,-1,1570,5.5,4.5,Rejected
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,Rejected
