Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,Accepted
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Accepted
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,Accepted
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,Accepted
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,Accepted
M,ASIAN,NY,Low,-1,NONE,-1,1510,3.5,2.5,Accepted
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,Accepted
F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,Accepted
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,5.5,4.5,Accepted
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,Accepted
M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,Accepted
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Accepted
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,BLACK,-1,High,PUBLIC,URM,BIO,1520,6.5,3.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,Accepted
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,Accepted
F,-1,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,Accepted
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,ASIAN,MA,High,PRIVATE,NONE,CS,1510,6.5,6.8,Accepted
M,WHITE,MA,High,-1,NONE,CS,1490,4.5,7.0,Accepted
M,WHITE,LA,Low,PUBLIC,NONE,ENG,1480,4.0,7.5,Accepted
M,WHITE,CA,High,PUBLIC,URM,CS,1530,7.5,4.5,Accepted
F,WHITE,NY,Low,PUBLIC,NONE,BIO,1580,7.5,6.5,Accepted
M,ASIAN,MA,Low,PUBLIC,NONE,CS,1540,6.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,CS,1300,3.5,7.2,Accepted
F,WHITE,FL,Low,PRIVATE,URM,BIO,1510,5.5,4.7,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
F,WHITE,MI,High,PUBLIC,NONE,CS,1310,8.5,3.5,Accepted
F,HISPANIC,NY,Low,PUBLIC,FIRST-GEN,BUSINESS,1450,4.5,2.5,Accepted
NB,WHITE,NY,High,PUBLIC,LEGACY,-1,1430,1.5,2.5,Accepted
F,ASIAN,MI,Middle,PRIVATE,NONE,BIO,1580,4.5,8.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
F,ASIAN,MA,High,PRIVATE,NONE,BIO,1550,5.5,7.6,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,6.5,8.2,Accepted
M,WHITE,MA,Low,-1,NONE,MUSIC,1110,6.5,2.5,Accepted
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,Accepted
M,WHITE,WA,-1,PUBLIC,NONE,CS,1530,6.5,6.5,Accepted
M,ASIAN,PA,Low,-1,NONE,CS,1590,5.0,2.5,Accepted
M,WHITE,CA,Low,PUBLIC,LEGACY,ENG,1550,7.5,6.8,Accepted
M,ASIAN,MA,High,PRIVATE,NONE,ENG,1540,3.5,4.5,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,Accepted
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,Accepted
M,WHITE,MA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1500,6.5,6.5,Accepted
F,WHITE,OR,-1,PUBLIC,LEGACY,CS,1510,6.5,0.0,Accepted
