Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,Accepted
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Accepted
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,Accepted
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Accepted
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,WHITE,NC,High,PRIVATE,NONE,HISTORY,1540,6.5,6.2,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,Accepted
M,BLACK,NY,Low,PUBLIC,URM,BIO,1360,2.0,6.2,Accepted
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1540,3.5,2.5,Accepted
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,HISTORY,1440,6.5,7.8,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,WHITE,GA,Low,PRIVATE,URM,CS,1600,6.5,7.5,Accepted
F,HISPANIC,CA,Low,PUBLIC,URM,ENG,1530,3.0,7.2,Accepted
F,WHITE,MI,High,PUBLIC,NONE,POLISCI,1490,8.5,6.5,Accepted
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,Accepted
M,ASIAN,UT,Low,-1,NONE,CS,1430,8.5,8.5,Accepted
F,BLACK,GA,High,PUBLIC,URM,CS,1400,7.5,4.5,Accepted
