Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Accepted
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,Accepted
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1590,6.5,8.1,Accepted
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,Accepted
F,WHITE,-1,Low,PUBLIC,URM,CS,1460,6.5,3.5,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,BUSINESS,1550,5.5,4.2,Accepted
OTHER,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1580,8.5,4.2,Accepted
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,Accepted
F,ASIAN,NY,High,PUBLIC,LEGACY,POLISCI,1570,6.5,4.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,CS,1560,5.0,4.2,Accepted
M,ASIAN,WA,-1,SMALL,NONE,BIO,1570,8.5,7.5,Accepted
F,WHITE,CO,High,PUBLIC,LEGACY,ENG,1430,6.5,6.5,Accepted
M,ASIAN,MA,Low,PRIVATE,NONE,BIO,1550,8.5,7.2,Accepted
F,WHITE,UT,Low,PUBLIC,NONE,BUSINESS,1340,6.5,4.5,Accepted
F,ASIAN,-1,Low,-1,NONE,-1,1580,6.5,7.5,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,Accepted
M,ASIAN,IN,Low,PRIVATE,NONE,-1,1560,7.5,7.5,Accepted
F,ASIAN,PA,High,PUBLIC,LEGACY,CS,1500,6.5,4.5,Accepted
F,NATIVE,WI,Low,-1,URM,-1,1420,6.5,2.5,Accepted
M,ASIAN,PA,Low,-1,NONE,CS,1590,5.0,2.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,-1,1550,6.5,4.5,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
F,HISPANIC,GA,Low,SMALL,FIRST-GEN,NEUROSCIENCE,1330,6.5,4.2,Accepted
F,ASIAN,WA,Low,PUBLIC,NONE,HUMANITIES,1530,5.5,4.2,Accepted
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,Accepted
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,Accepted
M,ASIAN,MI,Low,CHARTER,LEGACY,BUSINESS,1570,4.5,5.5,Accepted
T,WHITE,FL,High,PRIVATE,NONE,CS,1570,1.0,6.2,Accepted
F,WHITE,IN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,1360,5.5,4.5,Accepted
M,ASIAN,UT,Low,PUBLIC,NONE,ENG,1570,6.5,7.8,Accepted
M,ASIAN,IA,Low,PRIVATE,NONE,CS,1560,7.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,BIO,1550,6.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1600,8.5,4.5,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,WHITE,TX,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
F,ASIAN,UT,High,PRIVATE,NONE,BUSINESS,1600,2.0,4.5,Accepted
F,BLACK,FL,High,PUBLIC,URM,HEALTH SCIENCES,1410,8.5,6.5,Accepted
M,WHITE,OR,Low,PUBLIC,NONE,CHEMISTRY,1570,5.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,8.5,7.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,Accepted
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,Accepted
OTHER,ASIAN,CA,High,PUBLIC,NONE,-1,1580,8.5,4.5,Accepted
M,ASIAN,-1,Low,INTERNATIONAL,NONE,POLISCI,1460,2.0,4.5,Accepted
F,ASIAN,-1,Low,-1,FIRST-GEN,BUSINESS,1540,6.5,1.5,Accepted
M,ASIAN,NY,Low,-1,NONE,PSYCH,1550,7.5,1.0,Accepted
F,ASIAN,CO,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,6.5,Accepted
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,7.5,2.5,Accepted
F,WHITE,CO,Low,PRIVATE,NONE,BUSINESS,1560,6.5,2.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,Accepted
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,Accepted
F,ASIAN,IN,Low,-1,URM,MUSIC,1520,6.5,4.5,Accepted
F,ASIAN,CA,Low,-1,LEGACY,BUSINESS,1500,1.0,0.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1480,5.5,0.0,Accepted
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1580,6.5,7.3,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,CS,1590,6.5,6.8,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1580,3.5,2.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,Accepted
M,ASIAN,PA,Low,PUBLIC,NONE,CS,1580,7.5,7.5,Accepted
M,ASIAN,OR,High,PUBLIC,NONE,ENG,1550,3.5,1.0,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,BIO,1580,8.5,6.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,BIO,1370,6.5,2.5,Accepted
M,ASIAN,WA,Middle,INTERNATIONAL,NONE,ENG,1420,6.5,3.5,Accepted
F,ASIAN,PA,High,PRIVATE,NONE,PSYCH,1550,6.5,4.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1580,8.5,6.8,Accepted
M,ASIAN,CA,High,PRIVATE,NONE,BUSINESS,1590,7.5,7.5,Accepted
NB,ASIAN,OR,-1,PUBLIC,LGBT,BIO,1380,5.0,4.7,Accepted
F,BLACK,CA,High,PRIVATE,URM,PREMED,1550,6.5,7.8,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,PSYCH,1470,7.5,6.2,Accepted
M,ASIAN,WA,Low,-1,NONE,BUSINESS,1390,6.5,7.9,Accepted
M,WHITE,PA,High,PRIVATE,LEGACY,PSYCH,1580,6.5,7.8,Accepted
OTHER,ASIAN,MA,Low,PUBLIC,NONE,PSYCH,1430,3.5,4.5,Accepted
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,Accepted
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,Accepted
F,ASIAN,PA,Low,PRIVATE,FIRST-GEN,POLISCI,1570,7.5,4.5,Accepted
M,ASIAN,MI,High,PRIVATE,NONE,BIO,1530,6.5,4.0,Accepted
F,ASIAN,TX,High,-1,NONE,CS,1500,7.5,8.3,Accepted
M,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1600,6.5,3.7,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,CS,1560,7.5,2.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,BUSINESS,1570,6.5,4.2,Accepted
F,ASIAN,OR,High,-1,FIRST-GEN,CS,1600,7.5,8.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1550,6.5,9.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1590,8.5,6.3,Accepted
M,ASIAN,WI,Low,PRIVATE,NONE,-1,1500,8.5,6.5,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
F,WHITE,USA,Low,PUBLIC,LEGACY,MEDIA STUDIES,1410,5.0,6.2,Accepted
F,ASIAN,INTERNATIONAL,High,PRIVATE,FIRST-GEN,PHYSICS,1470,6.5,6.5,Accepted
M,BLACK,IN,Low,PRIVATE,NONE,CS,1280,6.5,6.8,Accepted
M,ASIAN,CA,-1,PUBLIC,NONE,PSYCH,1590,8.5,2.5,Accepted
M,ASIAN,GA,Middle,PUBLIC,LGBT,BIO,1580,5.0,3.5,Accepted
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2.0,4.5,Rejected
F,BLACK,CA,Low,PRIVATE,URM,CS,1320,5.0,5.7,Rejected
M,ASIAN,GA,High,-1,NONE,CS,1480,5.0,4.5,Rejected
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,Rejected
M,ASIAN,-1,Middle,PUBLIC,NONE,CS,1330,2.5,5.7,Rejected
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,Rejected
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0.0,Rejected
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5.0,4.7,Rejected
M,ASIAN,CO,Low,-1,FIRST-GEN,BUSINESS,1530,2.5,3.5,Rejected
M,ASIAN,MA,High,PUBLIC,NONE,CS,1560,6.5,6.5,Rejected
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1370,2.0,2.5,Rejected
M,ASIAN,-1,Low,PUBLIC,FIRST-GEN,BUSINESS,1480,5.5,7.2,Rejected
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Rejected
M,ASIAN,AZ,High,PUBLIC,NONE,BUSINESS,1480,6.5,4.5,Rejected
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Rejected
M,WHITE,MA,High,PRIVATE,LGBT,BUSINESS,1490,6.5,8.2,Rejected
F,ASIAN,ID,-1,PRIVATE,NONE,INTERNATIONAL RELATIONS,1380,5.5,6.8,Rejected
