Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5.0,7.2,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
F,ASIAN,CO,High,PUBLIC,NONE,ENG,1500,6.5,4.2,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
F,WHITE,TX,Low,PUBLIC,NONE,POLISCI,1300,6.5,7.5,Accepted
F,ASIAN,USA,-1,PUBLIC,NONE,POLISCI,1530,6.5,4.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,BIO,1340,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,5.0,3.5,Accepted
F,WHITE,CA,Low,PUBLIC,NONE,CS,1540,6.5,6.2,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,ASIAN,CA,Low,-1,LEGACY,ENG,1590,5.5,1.5,Accepted
F,ASIAN,-1,High,PUBLIC,LEGACY,CS,1590,6.5,4.5,Accepted
F,HISPANIC,CA,High,PUBLIC,URM,-1,1450,6.5,8.3,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,ASIAN,CA,Low,PRIVATE,NONE,CS,1510,7.5,7.5,Accepted
M,ASIAN,CA,Low,-1,FIRST-GEN,CS,1400,1.0,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1400,2.0,2.5,Accepted
F,BLACK,CO,-1,PUBLIC,URM,NEUROSCIENCE,1530,7.5,3.7,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,1560,3.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,1390,4.0,4.5,Accepted
OTHER,ASIAN,CA,-1,PUBLIC,NONE,CS,1520,6.5,8.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1530,7.5,1.5,Accepted
NB,WHITE,CA,Low,PUBLIC,LEGACY,SOCIAL SCIENCES,1310,2.5,6.0,Accepted
M,-1,AL,High,PRIVATE,URM,CS,1580,7.5,4.7,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,ENG,1530,6.5,6.5,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1330,1.0,2.0,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1470,4.0,7.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,MATH,1050,1.0,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1430,7.0,7.2,Accepted
F,WHITE,CA,Low,PUBLIC,LGBT,CS,1570,7.5,6.5,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1400,6.5,3.5,Accepted
M,ASIAN,CA,Low,SMALL,LEGACY,BUSINESS,1350,2.5,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,LEGACY,ENG,1560,5.0,6.5,Accepted
M,HISPANIC,CA,Low,PUBLIC,NONE,ENG,1370,5.0,2.5,Accepted
F,ASIAN,CA,High,PUBLIC,LGBT,ENG,1560,5.0,6.5,Accepted
M,ASIAN,MA,Low,PUBLIC,URM,CHEMISTRY,1500,5.0,2.5,Accepted
F,ASIAN,CO,Low,PUBLIC,NONE,DESIGN,1450,6.5,8.5,Accepted
M,ASIAN,MI,Middle,PUBLIC,NONE,LAW,1550,5.5,7.3,Accepted
F,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1560,6.0,4.5,Accepted
M,WHITE,CA,Low,PRIVATE,NONE,ENG,1330,8.5,6.5,Accepted
OTHER,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1530,6.0,4.3,Accepted
F,ASIAN,CA,Low,PUBLIC,NONE,ENVIRONMENTAL STUDIES,1450,8.5,7.5,Accepted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Accepted
M,HISPANIC,CA,High,PUBLIC,NONE,BIO,1220,2.0,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1580,6.5,7.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,Rejected
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Rejected
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,BLACK,NY,Low,PUBLIC,URM,ENG,1390,5.5,4.2,Rejected
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Rejected
NB,WHITE,MA,Middle,-1,NONE,POLISCI,1500,3.5,1.5,Rejected
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,Rejected
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,Rejected
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Rejected
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Rejected
F,ASIAN,OH,Middle,PUBLIC,NONE,CS,1570,6.5,4.2,Rejected
F,ASIAN,CA,Low,PUBLIC,NONE,BIO,1460,4.5,6.5,Rejected
M,WHITE,OR,Middle,PUBLIC,NONE,CS,1520,5.5,0.0,Rejected
M,ASIAN,IN,Low,PUBLIC,NONE,-1,1400,6.5,2.5,Rejected
M,ASIAN,CA,Middle,PUBLIC,NONE,HISTORY,1470,6.5,7.5,Rejected
F,HISPANIC,-1,High,PUBLIC,URM,CS,1450,1.5,3.5,Rejected
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,1550,5.5,2.5,Rejected
M,WHITE,AL,Low,PRIVATE,LEGACY,BUSINESS,1480,5.5,7.5,Rejected
F,WHITE,NY,Low,PRIVATE,LEGACY,ENG,1530,3.0,7.5,Rejected
F,WHITE,MO,Low,PUBLIC,NONE,CS,1450,5.0,2.5,Rejected
M,ASIAN,CA,Low,-1,NONE,MATH,1580,6.0,5.2,Rejected
M,ASIAN,CA,Low,PRIVATE,NONE,BUSINESS,1530,3.5,4.8,Rejected
M,WHITE,MA,Low,PUBLIC,LEGACY,PSYCH,1530,6.5,4.5,Rejected
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Rejected
M,ASIAN,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1530,6.5,4.5,Rejected
F,BLACK,MA,Low,PUBLIC,URM,BIO,1540,5.5,4.2,Rejected
F,ASIAN,-1,Low,-1,NONE,BUSINESS,1540,4.5,1.0,Rejected
F,-1,CO,High,PUBLIC,URM,CHEMISTRY,1500,6.5,3.7,Rejected
F,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1470,6.5,0.0,Rejected
F,ASIAN,CA,Low,-1,NONE,CS,1500,5.5,2.5,Rejected
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,Rejected
M,ASIAN,OH,Low,PUBLIC,NONE,CS,1520,7.5,7.5,Rejected
F,ASIAN,CA,High,PUBLIC,NONE,CS,1540,7.0,6.5,Rejected
NB,-1,-1,Low,-1,FIRST-GEN,-1,1510,-1.0,4.5,Rejected
