Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,WHITE,FL,Low,PRIVATE,URM,CS,1580,7.5,8.5,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Accepted
F,WHITE,TX,-1,PUBLIC,LEGACY,CS,1510,3.5,3.7,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
F,BLACK,UT,Low,-1,NONE,HUMANITIES,1170,5.5,1.0,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,ENG,1500,8.5,2.5,Accepted
M,WHITE,IN,High,PUBLIC,NONE,ENG,1570,7.5,3.5,Accepted
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1500,7.0,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1580,5.5,3.5,Accepted
M,HISPANIC,TX,Low,PUBLIC,URM,POLISCI,1530,7.5,7.2,Accepted
F,ASIAN,NY,High,PUBLIC,NONE,ENG,1540,3.5,2.5,Accepted
F,ASIAN,PA,Low,PUBLIC,NONE,ENG,1570,4.5,7.2,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,BIO,1590,8.5,8.5,Accepted
M,ASIAN,OR,Low,PUBLIC,NONE,ENG,1590,8.5,4.5,Accepted
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,Accepted
M,WHITE,CA,High,PRIVATE,URM,POLISCI,1550,7.5,7.5,Accepted
M,WHITE,OR,Low,PUBLIC,NONE,CS,1500,8.5,7.5,Accepted
F,-1,-1,Low,-1,URM,CS,1500,6.5,1.0,Accepted
F,BLACK,UT,Low,MAGNET,URM,ENG,1510,7.5,7.5,Accepted
T,WHITE,OR,High,-1,NONE,MATH,1560,6.5,3.5,Accepted
OTHER,-1,CA,Low,PRIVATE,NONE,CS,1520,6.5,2.5,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
M,WHITE,-1,High,PUBLIC,LEGACY,CS,1560,7.5,6.8,Accepted
M,ASIAN,TX,Low,PRIVATE,NONE,UNDECIDED,1360,6.5,2.5,Accepted
M,ASIAN,MI,Middle,PRIVATE,NONE,CS,1530,6.5,2.5,Accepted
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,MUSIC,1530,7.5,7.5,Accepted
F,WHITE,NY,High,PUBLIC,NONE,CS,1540,6.5,4.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,Accepted
M,BLACK,INTERNATIONAL,High,PRIVATE,NONE,CS,1580,8.5,4.5,Accepted
M,BLACK,NY,Low,PUBLIC,URM,CS,1410,6.5,8.5,Accepted
M,ASIAN,GA,Low,PRIVATE,NONE,ENG,1550,7.5,8.2,Accepted
M,BLACK,IL,Low,PUBLIC,URM,CS,1430,6.5,9.5,Accepted
F,BLACK,CO,High,PUBLIC,URM,PSYCH,1530,5.5,4.2,Accepted
M,BLACK,UT,High,PRIVATE,URM,HISTORY,1520,5.5,7.5,Accepted
F,BLACK,GA,High,-1,URM,-1,1410,7.5,2.5,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1560,7.5,4.7,Accepted
F,BLACK,CA,High,PRIVATE,URM,PREMED,1550,6.5,7.8,Accepted
M,ASIAN,-1,-1,PRIVATE,NONE,ENVIRONMENTAL STUDIES,1570,8.5,7.5,Accepted
M,BLACK,MI,Low,PRIVATE,URM,CS,1550,7.5,6.8,Accepted
M,WHITE,UT,High,PUBLIC,NONE,POLISCI,1600,7.5,6.2,Accepted
M,ASIAN,USA,Low,PRIVATE,LEGACY,CS,1490,7.0,2.5,Accepted
F,ASIAN,INTERNATIONAL,High,PRIVATE,LGBT,ENG,1530,6.5,2.5,Accepted
M,ASIAN,NY,Low,PUBLIC,LEGACY,ENG,1550,8.5,6.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,Accepted
F,ASIAN,PA,Low,PRIVATE,FIRST-GEN,POLISCI,1570,7.5,4.5,Accepted
F,ASIAN,CA,High,PUBLIC,URM,-1,1580,8.5,9.5,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,2.5,Accepted
M,ASIAN,-1,Low,PUBLIC,LGBT,BIO,1480,3.5,3.5,Accepted
M,BLACK,NY,Low,PUBLIC,NONE,CS,1560,8.5,2.5,Accepted
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,Accepted
F,ASIAN,OR,High,-1,FIRST-GEN,CS,1600,7.5,8.5,Accepted
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1500,8.5,2.5,Accepted
F,WHITE,MI,Middle,PRIVATE,NONE,POLISCI,1550,7.5,8.5,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
M,HISPANIC,NY,Low,PUBLIC,URM,ENG,1380,6.5,8.3,Accepted
F,ASIAN,CO,Low,CHARTER,NONE,CS,1580,7.5,6.5,Accepted
M,WHITE,-1,High,PUBLIC,NONE,CS,1550,7.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1580,8.5,2.5,Accepted
M,WHITE,NY,Low,PRIVATE,LEGACY,CS,1510,8.5,4.5,Accepted
F,-1,-1,Low,PUBLIC,NONE,CS,1570,7.5,8.1,Accepted
M,-1,CA,Low,PRIVATE,LEGACY,CS,1340,8.5,4.5,Accepted
M,HISPANIC,TX,Low,PUBLIC,URM,URBAN STUDIES,1530,5.0,6.5,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,Rejected
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Rejected
F,ASIAN,NY,Low,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,Rejected
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,4.5,Rejected
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5.0,4.5,Rejected
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Rejected
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,Rejected
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Rejected
F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,Rejected
M,ASIAN,-1,-1,PUBLIC,NONE,BUSINESS,1570,8.5,4.5,Rejected
M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,Rejected
M,BLACK,ND,Low,PUBLIC,URM,CS,1530,6.5,4.7,Rejected
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1520,8.5,4.5,Rejected
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,Rejected
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Rejected
M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,Rejected
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Rejected
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,Rejected
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Rejected
F,WHITE,NE,High,SMALL,URM,POLISCI,1500,5.5,4.5,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,CS,1540,8.5,7.3,Rejected
M,WHITE,CA,Low,-1,LEGACY,BUSINESS,1560,5.5,1.5,Rejected
F,WHITE,VA,Low,PUBLIC,LEGACY,CS,1590,4.5,7.2,Rejected
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,Rejected
F,ASIAN,IN,Low,PUBLIC,NONE,CS,1590,6.5,3.5,Rejected
F,ASIAN,CA,Low,-1,FIRST-GEN,CS,1500,5.5,1.0,Rejected
F,ASIAN,-1,Low,PRIVATE,NONE,CS,1560,5.5,3.7,Rejected
M,ASIAN,IN,High,PRIVATE,NONE,POLISCI,1580,6.5,5.5,Rejected
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,Rejected
M,ASIAN,PA,High,PRIVATE,NONE,CS,1560,7.5,4.5,Rejected
M,ASIAN,-1,High,PUBLIC,NONE,CS,1530,7.5,6.5,Rejected
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Rejected
