Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,Accepted
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5.0,4.5,Accepted
M,WHITE,NY,Low,PUBLIC,NONE,-1,1560,7.5,6.8,Accepted
M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8.0,7.5,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5.0,1.5,Accepted
F,ASIAN,MI,High,PUBLIC,NONE,CS,1560,6.5,4.2,Accepted
M,BLACK,GA,Middle,PUBLIC,URM,CS,1520,6.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,WHITE,CA,-1,PUBLIC,NONE,CS,1570,8.5,4.7,Accepted
F,WHITE,IL,High,PUBLIC,NONE,CS,1600,6.5,7.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,BIO,1570,8.5,2.5,Accepted
M,WHITE,FL,Low,PUBLIC,URM,BIO,1430,5.5,7.5,Accepted
M,ASIAN,DC,Low,-1,NONE,ENG,1460,5.0,2.5,Accepted
M,-1,-1,Low,PUBLIC,NONE,CS,1420,5.5,2.5,Accepted
M,WHITE,TX,Low,MAGNET,URM,CS,1570,4.5,4.5,Accepted
M,ASIAN,TX,High,-1,NONE,HISTORY,1490,6.5,3.5,Accepted
F,HISPANIC,TX,Middle,PUBLIC,URM,CS,1520,7.5,4.5,Accepted
M,ASIAN,IN,High,PRIVATE,LEGACY,CS,1470,7.5,6.5,Accepted
M,WHITE,-1,Low,PUBLIC,NONE,HUMANITIES,1540,5.5,6.1,Accepted
M,BLACK,-1,Middle,-1,URM,CS,1510,7.5,2.5,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1490,8.5,4.5,Accepted
F,ASIAN,IN,Low,-1,FIRST-GEN,CS,1590,8.5,3.5,Accepted
T,ASIAN,NE,Low,PUBLIC,NONE,CS,1480,6.5,7.5,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,Accepted
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,7.5,7.7,Accepted
