Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
OTHER,ASIAN,IN,High,-1,NONE,CS,1390,5.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,3.7,Accepted
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,Accepted
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,Accepted
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,7.2,Accepted
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,TX,High,PUBLIC,NONE,BUSINESS,1560,7.5,7.8,Accepted
M,ASIAN,TX,High,PUBLIC,FIRST-GEN,ENG,1530,7.5,2.5,Accepted
F,HISPANIC,FL,Low,PUBLIC,URM,CS,1550,7.5,4.5,Accepted
M,ASIAN,UT,Low,PUBLIC,LEGACY,CS,1570,7.5,6.2,Accepted
M,BLACK,CO,Low,-1,LGBT,HUMANITIES,1530,8.5,9.5,Accepted
F,ASIAN,LA,High,PUBLIC,NONE,CS,1570,6.5,6.5,Accepted
M,ASIAN,MI,Low,PUBLIC,FIRST-GEN,CS,1550,7.5,7.2,Accepted
T,ASIAN,GA,High,PUBLIC,URM,PREMED,1580,7.5,8.5,Accepted
F,ASIAN,TX,Low,PUBLIC,NONE,CS,1520,6.5,4.5,Accepted
M,NATIVE,CO,Low,PUBLIC,FIRST-GEN,BIO,1430,8.5,6.5,Accepted
T,WHITE,PA,Low,PUBLIC,FIRST-GEN,CS,1550,5.0,4.5,Accepted
F,BLACK,GA,Middle,PUBLIC,URM,CS,1500,7.5,4.5,Accepted
F,ASIAN,CA,Low,PRIVATE,URM,ENG,1510,8.5,6.5,Accepted
M,WHITE,IA,Low,PRIVATE,LEGACY,CS,1580,8.5,2.5,Accepted
M,WHITE,WA,-1,PUBLIC,NONE,-1,1560,3.5,4.5,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,BLACK,-1,Low,-1,NONE,BIO,1420,7.5,0.0,Accepted
F,ASIAN,WA,High,-1,NONE,ENG,1530,6.5,6.5,Accepted
M,ASIAN,AL,Low,-1,NONE,MATH,1590,8.5,4.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1520,5.5,5.8,Accepted
M,HISPANIC,CO,Low,PRIVATE,URM,BIO,1590,6.5,6.5,Accepted
M,ASIAN,CO,High,PUBLIC,NONE,CS,1590,8.5,4.2,Accepted
M,WHITE,FL,Middle,PUBLIC,FIRST-GEN,CS,1560,3.5,7.5,Accepted
F,ASIAN,IL,Low,PUBLIC,NONE,CS,1520,7.5,4.5,Accepted
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,Accepted
M,ASIAN,MI,High,PUBLIC,NONE,BIO,1560,8.5,3.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,8.5,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,6.5,Accepted
F,HISPANIC,IN,Low,-1,URM,CS,1560,7.5,7.5,Accepted
M,WHITE,CA,High,PUBLIC,NONE,POLISCI,1580,4.5,7.5,Accepted
NB,ASIAN,CA,High,PUBLIC,URM,CS,1570,6.5,4.2,Accepted
F,BLACK,GA,Low,PUBLIC,URM,LAW,1260,3.5,8.5,Accepted
M,ASIAN,CO,High,PRIVATE,NONE,PSYCH,1520,5.0,7.5,Accepted
F,BLACK,CA,High,PRIVATE,URM,PREMED,1550,6.5,7.8,Accepted
M,BLACK,MI,Low,PRIVATE,URM,CS,1550,7.5,6.8,Accepted
M,WHITE,UT,High,PUBLIC,NONE,POLISCI,1600,7.5,6.2,Accepted
M,BLACK,CA,Low,INTERNATIONAL,NONE,CS,1550,7.5,4.5,Accepted
M,WHITE,MA,Low,PRIVATE,NONE,ENG,1550,5.0,6.8,Accepted
F,ASIAN,CA,High,-1,NONE,ENG,1580,8.5,7.5,Accepted
M,ASIAN,USA,Low,PRIVATE,LEGACY,CS,1490,7.0,2.5,Accepted
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1500,6.5,2.5,Accepted
M,WHITE,FL,Low,PRIVATE,NONE,CS,1490,7.5,4.5,Accepted
M,-1,IN,Low,-1,NONE,CS,1450,4.5,1.0,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,Accepted
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1570,8.5,8.5,Accepted
NB,BLACK,CA,Low,PRIVATE,FIRST-GEN,BIO,1230,8.5,2.5,Accepted
F,ASIAN,MI,Low,PUBLIC,URM,BUSINESS,1370,7.5,6.5,Accepted
M,BLACK,NC,High,-1,URM,CS,1570,6.5,6.8,Accepted
F,ASIAN,-1,Low,PUBLIC,NONE,CS,1540,7.5,4.5,Accepted
M,BLACK,OR,Middle,PUBLIC,URM,PREMED,1530,7.5,4.5,Accepted
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
F,WHITE,OR,Low,-1,NONE,CS,1560,7.5,4.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1580,8.5,2.5,Accepted
M,ASIAN,-1,High,PUBLIC,NONE,PSYCH,1580,4.5,7.8,Accepted
F,ASIAN,CA,High,PRIVATE,NONE,UNDECIDED,1570,4.0,7.5,Accepted
M,ASIAN,UT,Middle,PUBLIC,NONE,CS,1550,8.5,6.5,Accepted
M,WHITE,PA,Low,PUBLIC,LEGACY,CS,1580,6.5,3.5,Accepted
M,WHITE,UT,Middle,PUBLIC,NONE,BIO,1540,7.5,9.2,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1580,8.5,2.5,Accepted
M,WHITE,CO,Low,PRIVATE,LEGACY,-1,1570,6.5,8.7,Accepted
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,Rejected
M,ASIAN,GA,Middle,PUBLIC,NONE,-1,1580,6.5,6.3,Rejected
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,Rejected
